Order_ID,Delivery_Experience_Rating,Issue_Reported
fc900642,2,None
d0fca803,5,Late Delivery
8a9412e0,4,Late Delivery
e0208654,3,Wrong Address
8ea30fd4,4,None
f46ce500,1,Late Delivery
ae3f6869,4,None
93bb1bd8,3,None
95b37a6d,3,None
a8b340d8,5,Late Delivery
7a89112f,4,Damaged Package
83e8c8b2,1,Damaged Package
cb9b8c70,1,None
c7b2aee5,5,None
ba6f7a4d,5,Damaged Package
ab2c1990,4,Wrong Address
3a112627,5,None
808c1eb0,3,Damaged Package
afdf4fd3,1,Wrong Address
30f5355a,3,None
d24f4a20,2,Late Delivery
72c6a0e7,3,Late Delivery
12ed1979,1,Late Delivery
674b4289,2,None
60139710,4,None
3f07db23,2,None
6b74140b,5,Late Delivery
b27d5559,1,Damaged Package
5cf63dc5,5,None
a23539c0,3,None
88a4d67a,4,Damaged Package
4ffd8353,1,None
40550bc0,4,Damaged Package
fb06a9e0,1,Late Delivery
548b8c79,5,Late Delivery
3a1368f7,3,Late Delivery
73f9f068,2,None
ed77e342,4,None
ca5f13f8,1,None
8f3d3c16,1,None
642308dd,4,None
214b77ae,2,Late Delivery
ef82e3f4,3,Wrong Address
03839c43,1,None
09d94aa5,1,Late Delivery
d2e0b242,4,Damaged Package
8a706f16,4,None
3172644f,1,Late Delivery
c3c0ed0b,1,None
daebda53,1,None
ff09b9ef,5,Wrong Address
3c30a67e,1,Wrong Address
23402849,3,None
3f5fa548,3,None
45bef694,2,Damaged Package
6c5f7944,4,Damaged Package
5c7cdfdf,2,Late Delivery
bee39637,1,None
5f1f5d18,4,Late Delivery
0c133945,1,None
64d1dbc1,4,Damaged Package
d38c2a99,5,None
9eed9f56,5,Late Delivery
5f506b8f,5,None
2313f411,2,None
fae273a9,4,Late Delivery
1e9577f0,2,None
f2a138ee,4,Damaged Package
bfb4556b,1,Late Delivery
94a75bc5,5,None
d7e8f4b8,5,Late Delivery
00bc1727,4,Late Delivery
f773df7c,2,None
2c889f21,2,None
22291dd4,3,None
33d02441,5,None
f25b0418,5,None
78c06c21,2,Wrong Address
56d3b020,5,Late Delivery
6af06f72,2,None
aebaad6d,3,Late Delivery
dd52d032,4,Late Delivery
54f76f22,4,None
ea0394d9,3,None
9ce49347,5,Late Delivery
fb010378,1,None
0e6c9a19,5,Damaged Package
4264846e,2,None
335d0744,1,Late Delivery
9ca26652,3,Late Delivery
ae9e0b01,4,None
2e3f7add,4,None
b5fbc0d5,5,Late Delivery
b83ee46f,4,Damaged Package
e563684c,5,Late Delivery
3c590cb2,2,Damaged Package
80ac5a0d,2,None
d8e995c9,3,None
1a6a329d,2,Late Delivery
c8494c7a,5,None
ccccc6f7,4,None
ab82a1e6,2,Late Delivery
e0cb176d,2,Wrong Address
e8a640e4,5,None
0d0c6153,2,None
788e97c7,4,Late Delivery
97b63e6a,4,None
2a6fdd2b,4,None
72cb2fa4,4,Late Delivery
08c6df2d,1,None
5c1a9e03,4,None
5cf01ad3,1,None
f8571df7,4,None
f2650c1a,4,Late Delivery
89bf73cb,5,None
93b334c5,4,None
538f0549,2,None
ccf8d62f,4,Wrong Address
616d8a4b,3,Damaged Package
552f84d6,5,Damaged Package
24d0ef9c,5,None
b79233bd,4,None
e0459556,3,Late Delivery
9e8ad5e5,4,None
8361755e,2,Late Delivery
09f099a8,5,None
80f273c0,5,None
bcbe5c59,3,None
fdc8b752,1,None
207b41a6,3,Late Delivery
e690961c,2,Late Delivery
ea8a4464,3,None
4d0a4642,1,Damaged Package
3ed38b80,2,None
def23089,2,Damaged Package
1a8c02cf,1,Late Delivery
62b3e3b3,4,Late Delivery
9065e167,3,Wrong Address
2508d5dd,2,Late Delivery
1c755b08,3,None
a0b93c5a,1,None
e853f4ac,5,None
14692c4f,1,None
53fb6e15,3,Late Delivery
7079d63d,2,Late Delivery
72f9ed07,3,None
079df295,5,None
d93e6061,2,Late Delivery
1f8bd6ca,5,None
9a1299b9,4,Late Delivery
b6f41eb7,1,None
0b601fb1,4,None
af9154de,3,Damaged Package
d189e7fe,4,None
d18a8934,1,Late Delivery
cadd5b50,2,None
e346ddcb,5,None
84bf2e8a,2,Damaged Package
a42bda3f,4,Late Delivery
f34dbf0f,3,Damaged Package
677bf8e7,4,Wrong Address
656d4577,1,None
6bc082ba,1,Wrong Address
e60736ca,3,None
3687a91f,2,None
4a937553,1,Late Delivery
6e292b9e,1,None
f2432862,3,Damaged Package
7a34b7f1,2,None
0079a9e2,4,None
017a7058,5,None
9345b260,3,None
7ccb8f3e,2,None
bd9e5009,5,None
70fd5c64,3,Late Delivery
7dbac90d,4,Wrong Address
7280b5df,4,None
d3cb4d3e,2,None
018464bf,2,None
4a33f0cb,4,None
fa027598,4,None
3d91e145,3,None
4acbb0ba,2,Late Delivery
00fb8fb0,5,None
7ed60820,4,None
32260de0,5,Damaged Package
44330e06,2,Late Delivery
1f2b5bd8,2,None
04abe679,1,Late Delivery
3894d05a,4,Late Delivery
5cf780ca,2,Late Delivery
fadca7d1,2,Damaged Package
7fc6834d,4,None
1dec7a95,1,Late Delivery
bed33972,1,Late Delivery
b48dc091,1,Late Delivery
ba343faa,1,Damaged Package
3f9a7ac2,3,None
203557ad,4,Late Delivery
59aa1d28,4,Damaged Package
fa64d05b,4,None
6432e9fb,1,None
86535143,1,Late Delivery
345c7dad,2,Damaged Package
83aeabfa,3,None
4cd78c5f,4,None
0285abce,3,Wrong Address
3020ab71,4,None
99090244,1,None
393010b7,1,Damaged Package
441c971e,4,None
cc4847a2,5,Damaged Package
fe5678d6,1,Late Delivery
c9ec1369,2,Wrong Address
7631ee71,1,None
750f8950,2,Damaged Package
8d2d9e76,3,None
9fa8e2d8,1,None
7321cf93,1,None
dac5e4ab,3,None
736c237d,2,None
e9c75560,5,Damaged Package
0d147e84,2,Late Delivery
122b697f,4,Late Delivery
e9d44f40,4,Late Delivery
bcc7f827,4,None
1fee37b3,3,None
b818804f,2,None
36f1f344,1,None
ff83e057,4,None
a3d4ba0e,2,Late Delivery
76aa0488,1,None
7fcfbcfa,2,Late Delivery
f4a75097,3,None
24a99da3,4,None
1814022d,5,None
6cb4168a,4,Late Delivery
e079f07d,4,None
7c683c31,3,None
12b45684,1,None
dfc14d2f,4,Late Delivery
c56957f2,1,Late Delivery
e471f875,1,None
2343e008,3,None
1a7fdd0f,4,None
402aeab1,3,None
b61d8aa1,3,Wrong Address
c7a9ff1d,5,None
3dca56a5,3,None
3893ee17,5,None
d9c52902,1,Late Delivery
dfff0342,1,Damaged Package
70da0d96,2,None
1ea61992,2,Late Delivery
d22b0447,1,None
bf2a8728,4,Late Delivery
06482fa7,2,None
dae3be53,3,None
e9170e83,2,Late Delivery
78d67e47,1,Late Delivery
d1dca57b,4,Damaged Package
10c478b9,1,None
6989827e,4,None
5c9b4cf5,2,None
bcf18bd3,3,Late Delivery
8dc9b584,3,None
d90197fa,1,Late Delivery
5a09a4e4,4,None
8aa73e44,2,None
f2b8d32d,4,Late Delivery
dc899113,4,None
e852848e,4,None
add2bdd9,2,Late Delivery
92c278d6,4,None
47520111,3,Damaged Package
aec88891,1,None
423b88e8,5,Late Delivery
9f8722e3,4,None
5113d461,3,None
da738a16,3,Late Delivery
34a538b1,1,None
66c3add9,1,None
c9d16e1f,5,None
6fbd8291,5,Wrong Address
7ff341c1,5,None
4594dcd5,2,None
00a1ab56,2,None
77de02d6,3,Damaged Package
1d3b6522,1,None
142cd1da,4,None
b09e6d33,1,None
60ad9fa3,2,Late Delivery
cd76a68d,3,None
e23ba2c0,4,None
f4a2dd5b,5,None
5a8a54fc,5,None
5f3338f7,2,Damaged Package
c68aff01,3,Late Delivery
59a36b36,1,None
91214428,2,None
c843ce49,1,Late Delivery
357e5192,4,None
6a59fe9b,1,None
9e3f08bd,4,None
4fa4d023,3,None
3eefe9d6,2,None
d0b22e47,1,None
b9b348e4,3,Wrong Address
03c2dd54,3,Late Delivery
47253105,1,None
3cc55980,5,Late Delivery
7a24175f,5,Late Delivery
68d5be07,4,None
9682247d,3,None
0208da1e,2,Late Delivery
bc69b6a7,2,None
be1bf437,3,None
67c9f7f0,5,None
24f959d2,3,None
cacbab2f,4,None
b422b047,3,None
2aa3be03,1,Damaged Package
7006f1ca,5,None
5286550b,1,None
55b4b636,1,Late Delivery
a25d810a,3,Late Delivery
b5fc7e0a,3,Damaged Package
256f04a8,2,Late Delivery
d7298f46,1,Late Delivery
f7c91efc,3,Late Delivery
12d25fbb,2,None
81eda920,1,Late Delivery
e2bd4f22,2,None
e852e734,5,None
f7993e7b,4,None
7636f8d1,1,Damaged Package
31aefe15,3,Wrong Address
695dfe3f,5,None
6c776185,2,Late Delivery
e21e516e,4,Wrong Address
ba48dd21,1,Late Delivery
dbcea5a5,4,Late Delivery
d823ba93,5,None
a090024e,4,None
fdc8dc80,1,None
5195e0af,5,Wrong Address
3e0c8dce,2,Late Delivery
c86e49af,1,Damaged Package
ea60d72f,4,None
0eaa9d83,1,Late Delivery
11b5cb3e,5,Late Delivery
2104afc1,4,None
b1235fc9,2,Damaged Package
46744397,3,None
2b37c552,2,None
4467f1ad,1,None
17daad3a,3,None
d37aa982,5,None
55ca09a0,4,None
22031a1e,4,None
c34cec75,5,Late Delivery
c830a52a,1,None
8a6fb9b5,2,None
1ab3eb11,3,None
8b3f9318,5,None
c6e83b5b,1,None
7de678e1,1,None
d72e0f83,3,Late Delivery
31f81353,5,None
9c67d8b5,2,None
4c482ab5,2,None
18aad7e6,5,None
85f260fb,4,Late Delivery
5a50b8b2,2,None
09c501fd,4,Damaged Package
b99ce1ae,5,None
e1d03180,1,Late Delivery
2f5d422f,5,Damaged Package
d45e3647,1,None
a54e0406,5,None
2eaf77f0,4,None
9b3057a4,4,None
1a7d4346,5,None
91849771,1,Late Delivery
64fdb7b2,5,Wrong Address
375bccb3,1,None
fe9a2a28,4,Late Delivery
371de2a1,3,Late Delivery
5762efbd,2,None
34ccab4f,4,Late Delivery
c076f223,5,Late Delivery
475009d9,5,Late Delivery
d5aab04d,1,None
4c68cf1a,2,None
ea4c44da,4,Late Delivery
d702b71e,2,None
3bfa36d6,2,Late Delivery
96e6a8ef,4,None
891ac760,1,None
810a845b,1,None
3aec781a,1,None
0256bb40,3,None
46b360ba,2,Damaged Package
7409fb2d,3,None
32c80cc2,1,None
56d71e1b,4,Late Delivery
5f601394,2,None
c0e256c1,4,None
03a3e889,5,None
31847dc0,2,None
dbd0eaa9,4,None
bfa25685,1,Late Delivery
3ffa72a1,3,None
899aa619,4,Wrong Address
2674f7fc,5,None
8f34b584,1,Late Delivery
50a4024e,5,Late Delivery
a1022f9e,3,None
baf42248,5,None
9f1635c7,4,Damaged Package
0a330a31,4,Late Delivery
cb4bfa77,1,None
db484165,3,None
bc32e5e0,3,Damaged Package
8d7419a0,2,None
b165cfa4,2,None
fa7b17ff,4,Damaged Package
62f75090,5,None
24721fff,5,None
46bbfd1e,1,Late Delivery
85b001c7,3,Late Delivery
406926df,4,None
090a0929,5,Damaged Package
cb5f8b87,2,Damaged Package
c8071c99,4,None
8afc0479,1,None
8f614493,4,Damaged Package
ba60b25c,5,None
85506bb5,1,None
012ab958,2,Late Delivery
8b565979,2,Late Delivery
c21249fd,5,Late Delivery
4eb7ddde,1,Late Delivery
f4d8e5f7,2,None
7201b4cd,1,Late Delivery
3a700c6e,4,None
c2daf07c,3,None
5818c7f8,3,None
8ac5d5bd,3,None
eea1defd,2,None
9c1f06fe,5,None
98479209,3,Late Delivery
b4abff53,5,None
47f284c0,3,None
2ed45a95,4,None
3ec1cbd4,3,Damaged Package
dbcb61a1,5,Late Delivery
d5412337,2,None
b8a2ada2,4,Damaged Package
d86b4ea2,5,None
0ca184e8,1,Late Delivery
1a41be8e,3,None
09ed5153,4,None
32e36f95,2,None
132a5e8a,1,Late Delivery
63226460,3,None
809b8be0,4,None
467aff5a,5,Late Delivery
b0b51ff9,3,None
d84bd442,4,Damaged Package
608d3668,3,None
f7865e0e,4,None
d533556e,5,Late Delivery
6ffb011f,3,Damaged Package
77eb0eac,4,Late Delivery
d97a6c46,1,None
6fa9b246,2,Wrong Address
78a34e63,4,None
c9b07672,4,None
2a35f214,4,Damaged Package
57d1fb0c,3,None
53c42ba4,2,None
c26cc803,3,Wrong Address
27871c07,4,None
c3a241fa,4,None
8cf5f790,2,None
fefa17e6,1,Damaged Package
df412a0f,3,Late Delivery
12c97961,1,None
2c744ee8,4,None
8aaf52cf,4,None
b57f3d3d,5,Late Delivery
e0481386,5,None
133b6256,1,None
ef03917a,5,Late Delivery
e0e14a29,2,None
fe4331a5,1,Late Delivery
17176a1f,5,None
7af5d013,5,Late Delivery
20761c74,2,None
4d0cb389,2,Late Delivery
2ae8fa7c,1,Damaged Package
fc687aba,3,Late Delivery
de345a0f,2,Late Delivery
e5c7b347,5,Late Delivery
f54ef5f7,1,None
a0e8e287,3,None
322162ac,1,Late Delivery
f1ac4faa,5,Late Delivery
ad7ce129,3,None
a3711a99,3,None
dc698872,2,None
108a9f65,4,None
f7e86599,5,Damaged Package
befd075c,4,Late Delivery
393b4d9f,5,None
9adf0da4,1,None
4e5e9f96,4,None
39008578,3,None
64ec7a68,2,None
446988f7,5,Damaged Package
8746b793,2,None
f1c8c287,5,None
d38cbc59,3,None
a7e77b4f,3,Damaged Package
f83ee8b7,3,Late Delivery
531ed2b5,3,None
4e46641e,3,None
11f141ba,2,Wrong Address
d6d12e24,1,None
810654be,4,Late Delivery
492197c3,2,None
5823eb32,4,Late Delivery
32998452,1,None
29cbdfb7,5,Damaged Package
0e2f3453,1,Late Delivery
810212f6,1,None
52e9fc59,5,None
76800510,4,None
9c1d51a5,3,Damaged Package
8a25ba78,5,None
835fa95c,5,None
0bb91094,1,None
b7494541,5,Late Delivery
5572ee18,2,None
888e0639,3,None
7f0c35dd,1,Damaged Package
e6534691,4,Late Delivery
827051db,4,None
909f1d3f,4,None
f5f48143,4,None
8816f206,4,None
e422123d,1,None
9910baaa,2,None
2575cdf1,2,None
2beb8498,4,None
016fed5c,2,Late Delivery
cbce069d,3,None
52bd02b6,2,Damaged Package
e1e5c791,5,None
4f1e03c3,4,None
4bf0dc58,5,None
43fba205,5,Late Delivery
fc6bd444,4,None
7a663ee5,1,None
99d7e6d1,2,None
8dd42340,3,None
546cb83f,1,Damaged Package
c934d044,3,None
18bde214,4,Late Delivery
f52084ae,2,Late Delivery
e9efd89c,1,None
c7606f5c,4,Damaged Package
292164b2,1,None
43b92d35,5,None
5d4427f5,2,None
c23dc9f9,2,Late Delivery
17abf600,4,Damaged Package
0aeeba7d,4,Late Delivery
eb8826dd,4,Damaged Package
7a45464c,2,Damaged Package
9ad4f875,5,None
0b416b64,2,None
a6b35d2f,4,None
8fc9d685,3,Late Delivery
1c380fd8,5,None
f332a627,2,Late Delivery
ae44c804,3,Damaged Package
e4d5226c,5,Late Delivery
fb9f5e0d,2,Late Delivery
9d842c9b,4,Damaged Package
b0926872,2,Late Delivery
497d2c9f,5,None
aeeebf7f,4,None
c991f452,1,None
bdfaf299,3,None
62bc7db1,4,None
c30203f5,4,None
02df6422,5,Late Delivery
02c7d168,5,None
6de11650,3,Late Delivery
02c317bb,5,Late Delivery
77c790a3,4,Damaged Package
47727de0,3,None
514be558,3,None
7376d3da,2,Late Delivery
8f9c87df,4,Late Delivery
d8a6ed81,4,Late Delivery
6ac0540a,5,Wrong Address
b584a03c,4,None
4c5def76,5,None
8d2fac2f,4,None
c1e32f6a,2,Damaged Package
f4c5a5f1,4,None
970302f5,2,None
3eb1bc3d,4,None
93c4cce9,4,Late Delivery
05b537eb,1,Late Delivery
4ce68171,4,None
2ae3827b,2,None
ae215248,3,None
70518cd4,2,Late Delivery
3ba1d4bc,4,None
6c835ae7,5,None
661437d4,1,Late Delivery
7773d520,5,Damaged Package
ba52baf9,1,None
0fff4190,1,None
e71b928c,5,None
6e71e309,4,None
218c2142,2,Late Delivery
8941b2ff,5,None
22bdfa52,3,Damaged Package
7214c041,1,None
5ca80f1e,2,None
7be9ee49,3,Late Delivery
a89d3b19,2,None
75d2831e,4,None
84eeba0e,3,Wrong Address
dfb10297,5,Late Delivery
7da26a8a,2,Damaged Package
f30e7ca7,5,Late Delivery
db877c96,5,None
8dea4747,2,Wrong Address
f4f7831d,2,None
c29755a8,1,Damaged Package
4ab97aa6,1,Damaged Package
47303434,3,Late Delivery
39a22d20,3,None
7b4e4244,3,Damaged Package
2f1f5d8b,1,Late Delivery
57ef32de,5,Late Delivery
1c70f3dd,4,Late Delivery
e5e48c20,4,None
f3573a10,2,None
28c824e2,1,None
0ea35ca6,2,None
2c5eb2d0,4,Late Delivery
f1ae9eea,2,None
4e09cd99,1,None
2351add6,1,None
de4ee1ba,1,None
754851d1,4,Late Delivery
11828419,1,Late Delivery
ade499df,3,None
82de9392,3,Late Delivery
67dec516,1,None
1b303d43,3,Damaged Package
c03df608,1,None
d4cdde0c,4,None
785ee27b,3,None
7acf6f44,4,None
39f48f52,3,Damaged Package
ccd1ee30,5,Wrong Address
b4313d2f,5,Late Delivery
a30dd7cf,4,None
2d1b3209,3,None
26cfd3d7,5,Late Delivery
f56a1342,1,None
aa4fe0a5,2,Damaged Package
6c4d2db8,5,None
5ef396ea,5,None
64f9ad1e,1,Wrong Address
89a69430,5,Wrong Address
44303109,5,Damaged Package
6c574e3a,5,None
f677fd66,3,Damaged Package
d20b212c,5,None
879d0778,2,None
c0c669d5,3,None
357adcc1,3,Damaged Package
4ca604ae,4,None
6488caab,5,None
7686da52,2,Late Delivery
a1a4fcb7,2,None
9860deb4,4,None
7363e546,2,None
acbd1b98,3,Damaged Package
4a376d50,1,None
c0f6170b,3,Late Delivery
ee9b724e,1,None
12487451,2,None
ebc68fb0,5,None
3324422f,1,None
f3dd075f,3,None
f8b86042,3,None
43f6956b,3,Late Delivery
1ffad118,3,Late Delivery
c916a30d,4,Late Delivery
d69c8876,2,Damaged Package
9492d514,5,Late Delivery
c47d5cee,4,None
7fbbfe06,2,None
ae445495,1,None
3699911c,4,Late Delivery
1beff858,4,None
c63a94d2,4,None
2479e669,4,None
803b98cd,1,Wrong Address
f792ac3b,3,Late Delivery
4d6dc22e,4,None
26ef2abf,2,None
fb4ce14b,3,None
455b0335,1,None
be892d12,5,None
3eb09268,1,None
50f9b2d9,5,Late Delivery
7f7a9262,2,None
d1427d96,5,Wrong Address
1e60acae,4,None
70eb36ed,3,Damaged Package
cc2b8299,3,Late Delivery
9f91e38e,4,Damaged Package
dbb6a774,3,Late Delivery
6e7bf39f,1,None
e0661aa3,4,None
4b102b84,4,None
c1081431,3,None
394aa51a,5,None
8c495d33,2,None
55eba0ed,5,None
bb1af068,1,None
7bfd196d,4,Damaged Package
dddda6c5,4,Damaged Package
e821a53d,1,Late Delivery
4fdb0f14,2,None
d99b5428,4,None
bf1a58d5,5,None
89aa17fe,1,None
8a1f71c4,4,Wrong Address
d6849ad1,5,None
d3b8335d,1,None
e4d8bfb6,1,Late Delivery
845bcc4a,1,None
605ae37a,2,Wrong Address
8c847594,1,None
7a2fefd4,3,Damaged Package
48f79a4d,3,Late Delivery
3e328880,1,None
c859099e,4,None
a59e0414,3,None
ffc13212,5,None
5bc99c76,5,Damaged Package
d0ac4291,4,Late Delivery
2797b522,5,Late Delivery
227f5263,4,None
da6e7e6b,5,None
26067ab0,1,None
f7290b23,5,None
935ba3ec,1,None
4503c1cb,5,None
0dc0dab4,5,None
bec959d6,5,None
1d12c094,1,Wrong Address
6e54f5c1,5,None
7f199168,5,None
daad9cdd,2,Late Delivery
9ea1c199,1,Late Delivery
6a1aad15,3,Wrong Address
7dc38362,4,None
46875549,2,None
d59fe49a,5,Damaged Package
c2d65e2b,3,Wrong Address
737209dc,3,Damaged Package
e3e6f0d7,5,Damaged Package
b8c17977,5,None
e43c189a,2,Damaged Package
506b3dff,1,Wrong Address
dda7b3f8,2,None
5801edde,1,Late Delivery
7faa70b7,3,Late Delivery
dcd9aaf1,4,None
1e5db1e7,5,Late Delivery
bde83f36,2,Damaged Package
205a895f,3,None
4cec5349,2,Late Delivery
7060f7f1,1,None
82e31265,5,None
cc91da5a,1,Late Delivery
f26e2f5f,1,None
08e2faf1,1,None
27d6bceb,3,Damaged Package
db784f58,5,Wrong Address
1e74754e,4,None
34a5fa61,2,Late Delivery
e1433aad,1,None
8d3ee64d,5,None
a344b2dd,2,None
3dbb54b2,5,None
384dd6d0,2,None
66c428b8,5,None
fb659aaf,4,None
e303e2e7,5,Late Delivery
cfaca283,5,None
b6ba716e,1,None
e173cb1f,1,None
b695aa05,1,None
1d4068fd,5,None
5111effd,4,None
30a23909,2,Damaged Package
20d65bcf,1,Late Delivery
5a45d227,3,Late Delivery
e2b8d63a,5,None
7e71fdfe,4,Damaged Package
75ae29db,4,None
5fb73198,1,None
b2af023d,1,Damaged Package
b7f4671b,3,None
03172231,3,Wrong Address
a0f73f3f,1,None
f59bb2f1,2,None
211478a9,1,Damaged Package
73e30639,1,None
115ab51d,4,None
7009c8ec,1,None
c4aed950,1,Late Delivery
3ec8a3ac,1,None
c20d8f3b,2,Late Delivery
5f5e0502,4,Late Delivery
d71b50fc,5,None
6e552b4e,5,Late Delivery
ea05bd43,5,Wrong Address
bef9bd3b,5,Wrong Address
7fa823e5,4,None
8a42b660,1,Late Delivery
725a0289,5,Damaged Package
34a5c38f,1,Damaged Package
91bf8219,5,None
2a54ff4b,2,None
a67ff2f2,1,None
31be17f7,4,None
5ad98918,2,None
32f2e274,2,Late Delivery
f18fd3e4,4,None
1584ca11,2,Late Delivery
c1d02650,1,None
2a91ccb9,3,None
07d3a428,3,None
8ba0b83b,5,Late Delivery
0b9938d2,5,None
8d9a67de,1,Late Delivery
4346b951,4,None
f38bfa5c,1,None
16b91b58,5,None
fa06e834,2,None
99f0e18d,1,None
efb81112,1,None
a81f1bce,4,Late Delivery
b93f0151,5,None
2346f84f,1,None
f151fd9e,2,None
0ce6ca4e,2,None
dd1648f2,3,None
b069a146,5,Late Delivery
f5d2fb51,2,Damaged Package
44f47bb1,4,None
a0ca0f90,5,Late Delivery
5a32e3b1,2,Late Delivery
de3066d9,1,None
ea971d76,5,None
8dbd3307,2,None
df0a8dae,1,None
19fcb10b,3,None
3807ac26,5,None
889770da,5,Late Delivery
20133862,2,Late Delivery
e9463356,3,None
2f21c684,4,None
ac40cefd,2,Late Delivery
5e19310e,2,Wrong Address
e3f10953,4,Late Delivery
d9c46424,4,None
9641a25a,4,None
4db3592e,4,Damaged Package
af2d6292,4,Late Delivery
f814b318,1,None
1cfb86bf,1,Late Delivery
1c54dbd9,4,None
db283942,3,None
be3c76c5,3,None
55133e8a,4,Late Delivery
7b8aeafc,1,None
c95093c9,3,None
db79e12a,1,Late Delivery
bfea310b,2,Late Delivery
c8797012,1,None
e6b9b32b,4,None
324b2c10,5,None
d55a7947,4,None
77d03324,2,None
114350f4,1,None
ec30d313,3,None
8fe9e054,4,Damaged Package
e192eb93,3,Damaged Package
6c9378b9,1,None
842d5d7c,2,None
f7f91aeb,4,None
dd63ef21,3,None
544f1995,4,Late Delivery
63b35658,4,Late Delivery
540f0ea0,3,Damaged Package
c040f733,2,Damaged Package
987f8c03,4,Damaged Package
22837c96,2,None
10515f13,2,Wrong Address
d500f0cb,1,None
e7bec077,3,Damaged Package
d48cb8db,1,None
7acdf163,5,None
8bc94d0f,1,None
2dfb6e98,4,None
3be0ef29,4,Late Delivery
f8c72950,4,Damaged Package
41e83d76,5,None
eaed37f2,2,None
4e30c99a,4,None
29600e54,1,None
dd9bde4e,2,None
6c95eeff,1,None
cbe842b1,1,None
dcbef87f,4,Damaged Package
15496584,1,Damaged Package
d23382a6,5,None
dea0231c,2,Wrong Address
c7f3824b,4,None
12db7d84,4,Late Delivery
2cb72e92,1,Late Delivery
52b134b8,1,None
afb6124d,3,None
7526de77,3,Wrong Address
829b1fbe,4,None
ad4e192f,4,None
44646657,1,Wrong Address
f9a45d3a,5,None
c41f4813,5,None
571893ae,1,Damaged Package
ce89e722,3,Damaged Package
a4c9385c,3,Wrong Address
0ca255e0,5,None
0ebf5e92,4,None
49c33e1e,1,Late Delivery
9db31822,4,Late Delivery
04151e4c,3,None
f4021fde,5,Damaged Package
1b320456,4,Damaged Package
a22357eb,3,Late Delivery
d6f7b79a,3,None
82448ecb,3,None
9ecf9309,4,None
3a111d5d,2,None
5c15b14f,5,None
7e42beba,3,Late Delivery
6c383872,4,Late Delivery
d21d1ade,1,Late Delivery
08e2314a,5,None
4db14cec,1,None
7ffa74a5,1,None
b8e50e4b,4,Late Delivery
d2ce5259,2,None
eb4819b8,4,None
1b7c698a,4,None
8e28ff1b,5,None
2cc6f5a3,4,Damaged Package
f1aaf49d,5,None
a0dec411,3,Late Delivery
45fde32d,5,None
8b14ca6c,4,None
9c20747b,3,None
b620988c,3,Damaged Package
88239374,2,None
bc7126e2,4,Damaged Package
ee335568,1,Late Delivery
2b154811,4,Late Delivery
f2c61539,1,None
eccb2871,2,Damaged Package
1a09f2c0,4,None
498a0b71,2,None
33ce5c66,1,Late Delivery
c169c8e5,5,None
08e44f03,4,None
8e093d0a,3,Damaged Package
68c76499,3,Late Delivery
4bce350c,2,None
855785a3,5,None
269d50f7,3,Late Delivery
4bad915e,3,None
75154266,4,None
0de2d492,3,None
e54a68b6,1,None
803a5399,2,None
65d76666,3,Wrong Address
