Order_ID,Order_Date,Delivery_Date,Delivery_Status,City,Carrier_ID,Delivery_Zone
a2be88d8,2023-06-13,2023-06-18,Delayed,Bangalore,C008,Central
e7ff14c6,2023-06-26,2023-07-01,Delivered,Pune,C010,East
fc900642,2023-05-23,2023-05-28,Delivered,Hyderabad,C001,Central
d0fca803,2023-02-26,2023-02-27,Delivered,Bangalore,C010,Central
8a9412e0,2023-06-25,2023-06-30,Delivered,Hyderabad,C009,West
e0208654,2023-03-25,2023-03-30,Delivered,Mumbai,C001,North
8ea30fd4,2023-01-15,2023-01-17,Delivered,Ahmedabad,C001,West
f46ce500,2023-02-28,2023-03-04,Delivered,Chennai,C001,Central
ae3f6869,2023-01-09,2023-01-14,Delivered,Hyderabad,C007,South
93bb1bd8,2023-03-22,2023-03-23,Delivered,Bangalore,C004,East
95b37a6d,2023-04-13,2023-04-14,Delayed,Chennai,C007,Central
a8b340d8,2023-03-10,2023-03-15,Delivered,Pune,C005,West
7a89112f,2023-01-17,2023-01-19,Delivered,Chennai,C007,South
83e8c8b2,2023-02-24,2023-02-25,Delayed,Hyderabad,C010,South
cb9b8c70,2023-05-26,2023-05-29,Delivered,Ahmedabad,C007,Central
c7b2aee5,2023-03-22,2023-03-24,Delivered,Hyderabad,C004,North
ba6f7a4d,2023-02-24,2023-02-26,Delivered,Delhi,C002,South
ab2c1990,2023-06-17,2023-06-22,Delivered,Delhi,C008,East
3a112627,2023-05-08,2023-05-12,Delayed,Chennai,C002,West
808c1eb0,2023-04-12,2023-04-13,Delayed,Kolkata,C009,West
afdf4fd3,2023-06-14,2023-06-19,Delivered,Ahmedabad,C005,West
30f5355a,2023-04-28,2023-05-03,Delayed,Kolkata,C009,Central
d24f4a20,2023-02-06,2023-02-09,Delayed,Delhi,C009,West
72c6a0e7,2023-03-09,2023-03-13,Delivered,Bangalore,C008,West
12ed1979,2023-02-05,2023-02-10,Delayed,Mumbai,C008,East
674b4289,2023-03-05,2023-03-06,Delivered,Chennai,C004,North
60139710,2023-05-24,2023-05-28,Delayed,Mumbai,C004,Central
3f07db23,2023-05-18,2023-05-19,Delayed,Delhi,C002,Central
6b74140b,2023-03-09,2023-03-12,Delivered,Hyderabad,C004,West
b27d5559,2023-05-30,2023-06-03,Delivered,Pune,C004,East
5cf63dc5,2023-04-20,2023-04-22,Delivered,Chennai,C006,South
a23539c0,2023-05-30,2023-06-03,Delivered,Delhi,C003,West
88a4d67a,2023-04-13,2023-04-14,Delayed,Ahmedabad,C002,West
4ffd8353,2023-04-03,2023-04-08,Delayed,Bangalore,C008,Central
40550bc0,2023-02-26,2023-03-01,Delivered,Pune,C002,Central
fb06a9e0,2023-02-05,2023-02-09,Delivered,Chennai,C008,West
548b8c79,2023-05-11,2023-05-14,Delivered,Chennai,C007,Central
3a1368f7,2023-05-07,2023-05-08,Delivered,Ahmedabad,C003,East
73f9f068,2023-01-24,2023-01-25,Delivered,Kolkata,C006,South
ed77e342,2023-01-13,2023-01-14,Delivered,Hyderabad,C006,South
ca5f13f8,2023-01-29,2023-02-03,Delayed,Chennai,C010,South
8f3d3c16,2023-02-09,2023-02-11,Delivered,Hyderabad,C005,West
642308dd,2023-06-10,2023-06-13,Delivered,Delhi,C008,West
214b77ae,2023-02-10,2023-02-12,Delayed,Bangalore,C005,West
ef82e3f4,2023-06-24,2023-06-26,Delivered,Pune,C007,East
03839c43,2023-04-19,2023-04-22,Cancelled,Pune,C006,South
09d94aa5,2023-06-02,2023-06-03,Cancelled,Bangalore,C007,Central
d2e0b242,2023-01-17,2023-01-19,Delivered,Chennai,C009,Central
8a706f16,2023-04-09,2023-04-12,Delivered,Chennai,C003,North
3172644f,2023-04-08,2023-04-12,Delivered,Delhi,C010,North
c3c0ed0b,2023-06-02,2023-06-04,Delivered,Kolkata,C007,Central
daebda53,2023-04-30,2023-05-01,Delivered,Kolkata,C010,South
ff09b9ef,2023-05-16,2023-05-21,Delivered,Kolkata,C003,West
3c30a67e,2023-03-06,2023-03-09,Delivered,Hyderabad,C002,Central
23402849,2023-05-22,2023-05-24,Delivered,Kolkata,C007,Central
3f5fa548,2023-01-03,2023-01-04,Delivered,Bangalore,C004,North
45bef694,2023-06-24,2023-06-25,Delayed,Pune,C001,South
6c5f7944,2023-01-30,2023-02-02,Delivered,Pune,C006,Central
5c7cdfdf,2023-06-24,2023-06-28,Delivered,Hyderabad,C006,West
bee39637,2023-05-18,2023-05-19,Delivered,Delhi,C006,West
5f1f5d18,2023-03-10,2023-03-13,Cancelled,Bangalore,C002,East
0c133945,2023-06-14,2023-06-16,Delivered,Pune,C001,West
64d1dbc1,2023-03-29,2023-04-02,Delivered,Bangalore,C003,Central
d38c2a99,2023-01-29,2023-02-01,Delayed,Pune,C002,Central
9eed9f56,2023-03-17,2023-03-20,Delivered,Mumbai,C006,West
5f506b8f,2023-04-22,2023-04-26,Delayed,Delhi,C006,North
2313f411,2023-02-10,2023-02-11,Delivered,Delhi,C005,South
fae273a9,2023-04-27,2023-04-28,Delivered,Ahmedabad,C010,Central
1e9577f0,2023-01-01,2023-01-03,Delivered,Mumbai,C010,West
f2a138ee,2023-03-09,2023-03-11,Delivered,Hyderabad,C005,West
bfb4556b,2023-05-09,2023-05-14,Delivered,Pune,C009,Central
94a75bc5,2023-02-15,2023-02-20,Delayed,Ahmedabad,C005,East
d7e8f4b8,2023-05-10,2023-05-12,Delivered,Pune,C010,South
00bc1727,2023-01-28,2023-02-01,Delivered,Pune,C006,Central
f773df7c,2023-06-10,2023-06-15,Delivered,Kolkata,C004,West
2c889f21,2023-03-18,2023-03-23,Delivered,Kolkata,C010,East
22291dd4,2023-06-13,2023-06-17,Delivered,Kolkata,C001,Central
33d02441,2023-05-10,2023-05-11,Delivered,Kolkata,C004,South
f25b0418,2023-06-05,2023-06-08,Delivered,Kolkata,C002,East
78c06c21,2023-02-20,2023-02-21,Delivered,Mumbai,C010,West
56d3b020,2023-02-09,2023-02-12,Delivered,Delhi,C003,North
6af06f72,2023-04-06,2023-04-10,Delivered,Hyderabad,C007,South
aebaad6d,2023-02-11,2023-02-16,Delayed,Bangalore,C007,East
dd52d032,2023-05-19,2023-05-23,Delivered,Kolkata,C001,Central
54f76f22,2023-05-16,2023-05-17,Delayed,Mumbai,C008,Central
ea0394d9,2023-01-01,2023-01-05,Delivered,Ahmedabad,C007,East
9ce49347,2023-06-03,2023-06-04,Delivered,Ahmedabad,C001,Central
fb010378,2023-03-24,2023-03-28,Delivered,Pune,C008,East
0e6c9a19,2023-05-06,2023-05-08,Delayed,Hyderabad,C002,South
4264846e,2023-01-05,2023-01-06,Delayed,Ahmedabad,C008,Central
335d0744,2023-01-29,2023-02-01,Delivered,Hyderabad,C003,South
9ca26652,2023-04-03,2023-04-08,Delivered,Hyderabad,C010,West
ae9e0b01,2023-03-20,2023-03-25,Delayed,Mumbai,C007,West
2e3f7add,2023-03-03,2023-03-04,Delivered,Bangalore,C006,West
b5fbc0d5,2023-01-15,2023-01-17,Delivered,Kolkata,C005,West
b83ee46f,2023-03-03,2023-03-08,Delivered,Hyderabad,C010,Central
e563684c,2023-05-26,2023-05-28,Delivered,Mumbai,C002,East
3c590cb2,2023-01-21,2023-01-24,Delayed,Pune,C002,Central
80ac5a0d,2023-01-22,2023-01-27,Delayed,Delhi,C001,Central
d8e995c9,2023-05-05,2023-05-09,Delivered,Pune,C009,South
1a6a329d,2023-01-18,2023-01-22,Delivered,Mumbai,C008,East
c8494c7a,2023-05-17,2023-05-18,Delivered,Mumbai,C008,North
ccccc6f7,2023-02-02,2023-02-07,Delayed,Mumbai,C001,North
ab82a1e6,2023-02-02,2023-02-04,Delayed,Hyderabad,C005,East
e0cb176d,2023-06-18,2023-06-20,Delayed,Mumbai,C006,North
e8a640e4,2023-05-02,2023-05-05,Delayed,Delhi,C002,East
0d0c6153,2023-05-21,2023-05-26,Delivered,Hyderabad,C010,South
788e97c7,2023-02-12,2023-02-14,Delivered,Pune,C005,South
97b63e6a,2023-03-09,2023-03-11,Delivered,Delhi,C006,Central
2a6fdd2b,2023-05-16,2023-05-21,Delayed,Ahmedabad,C009,North
72cb2fa4,2023-06-05,2023-06-09,Delivered,Chennai,C010,East
08c6df2d,2023-04-19,2023-04-24,Delivered,Pune,C001,South
5c1a9e03,2023-02-24,2023-02-28,Delivered,Mumbai,C010,Central
5cf01ad3,2023-05-19,2023-05-20,Delivered,Kolkata,C003,North
f8571df7,2023-06-26,2023-06-27,Delivered,Kolkata,C009,North
f2650c1a,2023-02-21,2023-02-25,Delivered,Hyderabad,C001,North
89bf73cb,2023-03-21,2023-03-26,Delivered,Kolkata,C001,South
93b334c5,2023-04-13,2023-04-16,Delayed,Pune,C001,South
538f0549,2023-06-21,2023-06-23,Delivered,Hyderabad,C007,North
ccf8d62f,2023-06-16,2023-06-17,Delivered,Pune,C005,South
616d8a4b,2023-04-06,2023-04-07,Delayed,Mumbai,C006,North
552f84d6,2023-04-23,2023-04-27,Delivered,Bangalore,C008,West
24d0ef9c,2023-05-13,2023-05-16,Delivered,Bangalore,C002,South
b79233bd,2023-04-26,2023-05-01,Delayed,Delhi,C002,East
e0459556,2023-01-31,2023-02-03,Delivered,Mumbai,C003,South
9e8ad5e5,2023-03-05,2023-03-09,Delayed,Kolkata,C003,North
8361755e,2023-02-27,2023-03-02,Delivered,Mumbai,C003,East
09f099a8,2023-01-17,2023-01-19,Delivered,Chennai,C004,Central
80f273c0,2023-03-28,2023-04-02,Delivered,Bangalore,C003,East
bcbe5c59,2023-01-06,2023-01-11,Delivered,Kolkata,C002,East
fdc8b752,2023-05-31,2023-06-03,Delivered,Pune,C009,South
207b41a6,2023-05-22,2023-05-23,Delivered,Pune,C006,East
e690961c,2023-02-28,2023-03-02,Cancelled,Bangalore,C003,East
ea8a4464,2023-05-31,2023-06-05,Delivered,Mumbai,C009,North
4d0a4642,2023-02-26,2023-03-03,Delayed,Kolkata,C004,South
3ed38b80,2023-01-02,2023-01-03,Delivered,Delhi,C004,North
def23089,2023-01-19,2023-01-22,Delayed,Pune,C008,South
1a8c02cf,2023-06-11,2023-06-12,Delivered,Mumbai,C007,Central
62b3e3b3,2023-01-16,2023-01-20,Delivered,Delhi,C007,East
9065e167,2023-02-28,2023-03-01,Delivered,Ahmedabad,C010,South
2508d5dd,2023-01-18,2023-01-20,Delivered,Kolkata,C007,East
1c755b08,2023-01-09,2023-01-14,Delayed,Bangalore,C010,East
a0b93c5a,2023-03-26,2023-03-29,Delivered,Ahmedabad,C005,West
e853f4ac,2023-01-19,2023-01-23,Delivered,Chennai,C007,North
14692c4f,2023-05-12,2023-05-14,Delivered,Ahmedabad,C004,South
53fb6e15,2023-03-02,2023-03-07,Delivered,Hyderabad,C008,Central
7079d63d,2023-03-13,2023-03-18,Delayed,Bangalore,C009,West
72f9ed07,2023-06-21,2023-06-24,Cancelled,Delhi,C003,North
079df295,2023-05-05,2023-05-08,Delayed,Mumbai,C007,Central
d93e6061,2023-02-24,2023-02-27,Delivered,Ahmedabad,C010,Central
1f8bd6ca,2023-05-19,2023-05-23,Delivered,Pune,C009,East
9a1299b9,2023-02-03,2023-02-06,Delayed,Kolkata,C001,North
b6f41eb7,2023-05-27,2023-05-29,Delivered,Ahmedabad,C002,West
0b601fb1,2023-05-28,2023-05-31,Cancelled,Bangalore,C007,South
af9154de,2023-05-02,2023-05-05,Cancelled,Pune,C002,South
d189e7fe,2023-03-04,2023-03-06,Delayed,Pune,C007,West
d18a8934,2023-05-02,2023-05-06,Delivered,Chennai,C001,East
cadd5b50,2023-04-15,2023-04-20,Delivered,Kolkata,C003,East
e346ddcb,2023-02-18,2023-02-21,Delayed,Ahmedabad,C005,Central
84bf2e8a,2023-01-25,2023-01-26,Delivered,Delhi,C006,North
a42bda3f,2023-01-25,2023-01-27,Delivered,Kolkata,C009,Central
f34dbf0f,2023-06-18,2023-06-19,Delivered,Ahmedabad,C009,South
677bf8e7,2023-04-21,2023-04-26,Delayed,Kolkata,C003,West
656d4577,2023-04-01,2023-04-05,Delayed,Mumbai,C008,North
6bc082ba,2023-04-19,2023-04-20,Delivered,Hyderabad,C004,West
e60736ca,2023-04-16,2023-04-17,Delivered,Ahmedabad,C007,North
3687a91f,2023-04-30,2023-05-02,Delivered,Pune,C006,South
4a937553,2023-01-14,2023-01-18,Cancelled,Delhi,C008,South
6e292b9e,2023-06-22,2023-06-27,Delivered,Ahmedabad,C006,North
f2432862,2023-06-17,2023-06-21,Delivered,Ahmedabad,C004,East
7a34b7f1,2023-06-15,2023-06-19,Delayed,Mumbai,C002,North
0079a9e2,2023-01-26,2023-01-31,Delayed,Pune,C007,South
017a7058,2023-01-16,2023-01-17,Delayed,Hyderabad,C004,West
9345b260,2023-04-14,2023-04-15,Delayed,Mumbai,C009,Central
7ccb8f3e,2023-03-28,2023-04-02,Delivered,Hyderabad,C009,West
bd9e5009,2023-01-28,2023-01-29,Delivered,Hyderabad,C007,South
70fd5c64,2023-03-05,2023-03-09,Delayed,Hyderabad,C005,West
7dbac90d,2023-02-19,2023-02-20,Delayed,Mumbai,C003,East
7280b5df,2023-02-18,2023-02-21,Delayed,Kolkata,C003,East
d3cb4d3e,2023-05-18,2023-05-22,Delayed,Ahmedabad,C009,North
018464bf,2023-04-25,2023-04-30,Delivered,Hyderabad,C009,West
4a33f0cb,2023-02-05,2023-02-08,Delivered,Kolkata,C004,West
fa027598,2023-04-19,2023-04-23,Delayed,Ahmedabad,C001,South
3d91e145,2023-02-16,2023-02-18,Delivered,Pune,C010,North
4acbb0ba,2023-03-13,2023-03-14,Delayed,Ahmedabad,C005,North
00fb8fb0,2023-04-29,2023-04-30,Delayed,Pune,C008,West
7ed60820,2023-03-05,2023-03-09,Delayed,Delhi,C010,Central
32260de0,2023-01-20,2023-01-23,Delivered,Chennai,C004,West
44330e06,2023-04-24,2023-04-26,Delivered,Kolkata,C010,West
1f2b5bd8,2023-05-21,2023-05-25,Delivered,Ahmedabad,C010,West
04abe679,2023-01-26,2023-01-27,Delivered,Pune,C004,East
3894d05a,2023-01-13,2023-01-15,Delivered,Chennai,C009,North
5cf780ca,2023-06-16,2023-06-17,Delivered,Hyderabad,C009,East
fadca7d1,2023-05-19,2023-05-22,Delivered,Chennai,C007,Central
7fc6834d,2023-01-04,2023-01-07,Delivered,Chennai,C010,South
1dec7a95,2023-01-24,2023-01-26,Delivered,Hyderabad,C008,Central
bed33972,2023-03-02,2023-03-03,Delivered,Kolkata,C004,North
b48dc091,2023-02-12,2023-02-17,Delivered,Ahmedabad,C008,South
ba343faa,2023-04-15,2023-04-18,Delayed,Hyderabad,C006,Central
3f9a7ac2,2023-05-05,2023-05-07,Delivered,Delhi,C003,North
203557ad,2023-05-04,2023-05-06,Delivered,Bangalore,C007,Central
59aa1d28,2023-02-24,2023-02-28,Delivered,Ahmedabad,C003,South
fa64d05b,2023-04-13,2023-04-16,Delayed,Mumbai,C007,South
6432e9fb,2023-01-16,2023-01-17,Delivered,Hyderabad,C005,Central
86535143,2023-02-12,2023-02-15,Delivered,Hyderabad,C004,East
345c7dad,2023-04-08,2023-04-12,Delivered,Chennai,C003,Central
83aeabfa,2023-01-01,2023-01-06,Delivered,Delhi,C008,Central
4cd78c5f,2023-04-10,2023-04-12,Delivered,Pune,C004,Central
0285abce,2023-03-09,2023-03-10,Delivered,Pune,C008,East
3020ab71,2023-04-27,2023-04-29,Delivered,Chennai,C010,West
99090244,2023-03-15,2023-03-19,Delayed,Kolkata,C003,South
393010b7,2023-04-19,2023-04-20,Cancelled,Ahmedabad,C010,North
441c971e,2023-06-28,2023-07-01,Delivered,Hyderabad,C009,South
cc4847a2,2023-05-23,2023-05-28,Delivered,Ahmedabad,C006,South
fe5678d6,2023-06-19,2023-06-24,Delayed,Ahmedabad,C005,West
c9ec1369,2023-05-05,2023-05-09,Delivered,Hyderabad,C005,South
7631ee71,2023-02-09,2023-02-11,Delivered,Chennai,C003,South
750f8950,2023-02-18,2023-02-23,Delivered,Ahmedabad,C002,East
8d2d9e76,2023-03-17,2023-03-19,Delivered,Hyderabad,C006,East
9fa8e2d8,2023-02-25,2023-03-02,Cancelled,Kolkata,C001,East
7321cf93,2023-01-15,2023-01-20,Delayed,Ahmedabad,C007,East
dac5e4ab,2023-05-29,2023-06-03,Delayed,Bangalore,C005,East
736c237d,2023-05-19,2023-05-21,Delivered,Mumbai,C004,North
e9c75560,2023-01-16,2023-01-17,Delivered,Mumbai,C009,West
0d147e84,2023-03-22,2023-03-27,Delivered,Mumbai,C010,Central
122b697f,2023-01-15,2023-01-17,Delivered,Bangalore,C001,East
e9d44f40,2023-01-13,2023-01-14,Delivered,Hyderabad,C004,West
bcc7f827,2023-05-30,2023-06-01,Delayed,Chennai,C003,Central
1fee37b3,2023-05-03,2023-05-06,Delivered,Pune,C006,South
b818804f,2023-05-09,2023-05-14,Delivered,Delhi,C005,South
36f1f344,2023-05-16,2023-05-18,Cancelled,Hyderabad,C007,West
ff83e057,2023-02-10,2023-02-15,Delayed,Bangalore,C001,North
a3d4ba0e,2023-01-15,2023-01-18,Delivered,Ahmedabad,C005,North
76aa0488,2023-05-11,2023-05-13,Delivered,Kolkata,C002,West
7fcfbcfa,2023-01-21,2023-01-22,Delivered,Bangalore,C002,North
f4a75097,2023-02-17,2023-02-22,Delivered,Ahmedabad,C002,North
24a99da3,2023-01-18,2023-01-23,Delivered,Pune,C009,South
1814022d,2023-06-02,2023-06-05,Delayed,Mumbai,C010,North
6cb4168a,2023-01-18,2023-01-23,Delivered,Hyderabad,C003,North
e079f07d,2023-06-22,2023-06-26,Delivered,Pune,C004,West
7c683c31,2023-03-02,2023-03-03,Delivered,Mumbai,C005,North
12b45684,2023-04-14,2023-04-18,Delivered,Delhi,C004,East
dfc14d2f,2023-01-31,2023-02-01,Delayed,Ahmedabad,C004,East
c56957f2,2023-05-26,2023-05-29,Delayed,Ahmedabad,C005,West
e471f875,2023-03-05,2023-03-09,Delivered,Kolkata,C010,East
2343e008,2023-05-29,2023-06-02,Delivered,Mumbai,C009,South
1a7fdd0f,2023-06-02,2023-06-05,Delivered,Delhi,C009,West
402aeab1,2023-01-11,2023-01-12,Delivered,Ahmedabad,C006,North
b61d8aa1,2023-06-08,2023-06-13,Delivered,Bangalore,C003,East
c7a9ff1d,2023-01-21,2023-01-25,Delivered,Mumbai,C006,South
3dca56a5,2023-04-18,2023-04-22,Delivered,Mumbai,C010,West
3893ee17,2023-06-18,2023-06-21,Delivered,Chennai,C004,West
d9c52902,2023-05-30,2023-06-04,Delivered,Kolkata,C003,North
dfff0342,2023-05-25,2023-05-26,Delivered,Kolkata,C006,Central
70da0d96,2023-05-14,2023-05-16,Delivered,Pune,C006,East
1ea61992,2023-03-22,2023-03-23,Delivered,Bangalore,C002,South
d22b0447,2023-03-08,2023-03-11,Delivered,Chennai,C009,West
bf2a8728,2023-02-22,2023-02-26,Delayed,Pune,C008,East
06482fa7,2023-06-21,2023-06-26,Delivered,Delhi,C006,South
dae3be53,2023-03-22,2023-03-26,Delivered,Pune,C001,South
e9170e83,2023-03-03,2023-03-06,Delivered,Delhi,C002,West
78d67e47,2023-03-09,2023-03-10,Delivered,Bangalore,C004,East
d1dca57b,2023-04-12,2023-04-16,Delivered,Ahmedabad,C007,South
10c478b9,2023-02-03,2023-02-05,Delivered,Kolkata,C009,West
6989827e,2023-06-21,2023-06-24,Delayed,Ahmedabad,C010,East
5c9b4cf5,2023-06-15,2023-06-16,Delivered,Delhi,C005,East
bcf18bd3,2023-03-18,2023-03-23,Delivered,Bangalore,C010,West
8dc9b584,2023-04-28,2023-04-29,Delivered,Ahmedabad,C002,East
d90197fa,2023-03-22,2023-03-24,Delivered,Pune,C001,Central
5a09a4e4,2023-01-19,2023-01-23,Delivered,Delhi,C010,South
8aa73e44,2023-01-03,2023-01-04,Delayed,Hyderabad,C001,South
f2b8d32d,2023-04-28,2023-04-30,Delivered,Mumbai,C005,East
dc899113,2023-06-09,2023-06-11,Cancelled,Pune,C007,West
e852848e,2023-05-25,2023-05-27,Delayed,Kolkata,C009,North
add2bdd9,2023-01-26,2023-01-29,Delivered,Ahmedabad,C009,East
92c278d6,2023-01-19,2023-01-22,Delivered,Pune,C008,North
47520111,2023-05-18,2023-05-19,Delivered,Hyderabad,C001,East
aec88891,2023-02-24,2023-02-25,Delivered,Bangalore,C005,North
423b88e8,2023-05-10,2023-05-11,Delivered,Bangalore,C006,East
9f8722e3,2023-03-09,2023-03-13,Delayed,Pune,C006,West
5113d461,2023-02-03,2023-02-07,Delivered,Hyderabad,C004,North
da738a16,2023-03-31,2023-04-01,Delivered,Ahmedabad,C001,Central
34a538b1,2023-01-18,2023-01-23,Delayed,Pune,C003,West
66c3add9,2023-03-04,2023-03-07,Delivered,Mumbai,C010,East
