Order_ID,Distance_km,Fuel_Charge,Total_Delivery_Cost
58c5139d,7.9,14.94,39.16
a2c7b2ce,35.84,67.78,95.73
30838426,2.46,4.65,50.14
dc8350c0,13.82,26.14,61.7
cf8fde3d,5.29,10.0,35.59
0d7bda88,26.74,50.57,84.58
2a60d134,18.48,34.95,70.72
bad78cd3,8.6,16.26,45.55
efa27d96,2.02,3.82,48.44
41282643,20.64,39.03,81.54
0209fe59,16.13,30.5,61.48
3b818707,4.24,8.02,56.35
9f4652df,42.88,81.09,129.22
ff2aef31,21.72,41.07,89.71
3060a960,39.19,74.11,92.93
2390c7e5,22.26,42.1,56.23
16275530,5.24,9.91,44.67
1e6adb92,20.92,39.56,78.66
8ed2ee1a,44.53,84.21,106.49
ae797607,2.37,4.48,35.99
0e3c8056,44.97,85.04,120.95
a08ec068,33.52,63.39,91.92
26b2161c,49.79,94.16,125.81
21695cc6,45.97,86.93,99.94
53a46f68,43.71,82.66,132.42
af83302f,3.8,7.19,32.34
b144331c,15.45,29.22,47.43
4cce08d8,19.99,37.8,67.0
c9152e9c,35.59,67.3,90.0
d70161df,33.13,62.65,88.31
73f9d03c,10.24,19.36,51.87
6b7501de,37.37,70.67,91.81
ffb95a69,9.47,17.91,54.57
40e7b6df,23.91,45.22,72.49
de298fd9,29.78,56.32,69.69
f158e0b2,43.79,82.81,128.29
71bfcbed,32.3,61.08,90.18
ee7537df,47.83,90.45,137.37
9ce9c32c,49.74,94.06,119.29
41e90207,26.42,49.96,81.67
a2be88d8,4.47,8.45,53.39
e7ff14c6,3.36,6.35,34.84
fc900642,43.07,81.45,116.78
d0fca803,25.99,49.15,69.03
8a9412e0,19.61,37.08,56.6
e0208654,15.65,29.6,61.31
8ea30fd4,15.53,29.37,63.9
f46ce500,5.5,10.4,46.63
ae3f6869,16.54,31.28,72.03
93bb1bd8,32.95,62.31,109.21
95b37a6d,20.49,38.75,58.36
a8b340d8,47.5,89.83,124.61
7a89112f,34.07,64.43,92.16
83e8c8b2,43.47,82.21,95.78
cb9b8c70,7.48,14.15,42.29
c7b2aee5,23.62,44.67,86.3
ba6f7a4d,3.99,7.55,20.71
ab2c1990,44.96,85.02,119.27
3a112627,9.05,17.11,43.51
808c1eb0,40.66,76.89,113.05
afdf4fd3,46.34,87.63,130.48
30f5355a,23.21,43.89,75.56
d24f4a20,20.69,39.13,61.29
72c6a0e7,30.81,58.26,71.87
12ed1979,37.54,70.99,92.54
674b4289,32.99,62.39,86.98
60139710,2.06,3.9,39.55
3f07db23,39.72,75.11,100.64
6b74140b,9.07,17.15,43.26
b27d5559,23.58,44.59,66.21
5cf63dc5,15.55,29.41,53.93
a23539c0,46.54,88.01,108.65
88a4d67a,26.1,49.36,88.73
4ffd8353,27.06,51.17,100.49
40550bc0,5.66,10.7,50.09
fb06a9e0,45.07,85.23,98.18
548b8c79,13.47,25.47,60.78
3a1368f7,21.87,41.36,79.48
73f9f068,49.29,93.21,134.34
ed77e342,7.47,14.13,54.64
ca5f13f8,36.49,69.01,99.35
8f3d3c16,14.49,27.4,47.9
642308dd,22.15,41.89,56.71
214b77ae,22.07,41.74,52.07
ef82e3f4,46.75,88.41,98.47
03839c43,2.5,4.73,52.18
09d94aa5,19.63,37.12,71.44
d2e0b242,42.92,81.17,114.14
8a706f16,45.7,86.42,111.49
3172644f,16.94,32.04,73.98
c3c0ed0b,13.61,25.74,44.55
daebda53,24.14,45.65,85.17
ff09b9ef,37.8,71.48,95.99
3c30a67e,9.39,17.76,56.07
23402849,39.65,74.98,113.24
3f5fa548,26.61,50.32,72.93
45bef694,8.76,16.57,63.94
6c5f7944,34.24,64.75,95.06
5c7cdfdf,32.15,60.8,81.11
bee39637,31.87,60.27,97.22
5f1f5d18,38.23,72.3,112.33
0c133945,10.7,20.23,68.26
64d1dbc1,35.48,67.1,80.03
d38c2a99,44.59,84.32,115.92
9eed9f56,27.45,51.91,81.53
5f506b8f,25.33,47.9,70.31
2313f411,40.29,76.19,116.9
fae273a9,9.02,17.06,34.83
1e9577f0,18.36,34.72,57.83
f2a138ee,42.98,81.28,121.93
bfb4556b,25.99,49.15,78.24
94a75bc5,42.34,80.07,95.51
d7e8f4b8,14.09,26.65,72.42
00bc1727,20.7,39.15,78.38
f773df7c,41.53,78.54,111.05
2c889f21,9.85,18.63,53.0
22291dd4,44.95,85.01,120.05
33d02441,16.87,31.9,61.87
f25b0418,48.69,92.08,131.87
78c06c21,41.73,78.92,117.53
56d3b020,23.87,45.14,55.25
6af06f72,37.63,71.16,85.58
aebaad6d,28.65,54.18,65.19
dd52d032,42.96,81.24,98.0
54f76f22,26.87,50.81,63.7
ea0394d9,49.42,93.46,111.21
9ce49347,8.41,15.9,47.44
fb010378,34.47,65.19,101.98
0e6c9a19,13.79,26.08,72.82
4264846e,11.18,21.14,60.71
335d0744,21.6,40.85,52.11
9ca26652,19.64,37.14,65.89
ae9e0b01,4.22,7.98,45.01
2e3f7add,22.53,42.61,65.22
b5fbc0d5,47.69,90.19,114.95
b83ee46f,24.41,46.16,88.27
e563684c,16.49,31.18,43.06
3c590cb2,47.56,89.94,121.53
80ac5a0d,26.27,49.68,91.86
d8e995c9,15.78,29.84,71.74
1a6a329d,39.58,74.85,89.67
c8494c7a,12.73,24.07,67.86
ccccc6f7,13.89,26.27,39.36
ab82a1e6,17.57,33.23,80.19
e0cb176d,20.95,39.62,58.27
e8a640e4,29.98,56.7,71.31
0d0c6153,26.73,50.55,63.51
788e97c7,37.7,71.29,95.03
97b63e6a,36.42,68.87,92.81
2a6fdd2b,4.19,7.92,38.97
72cb2fa4,8.43,15.94,55.26
08c6df2d,12.33,23.32,53.71
5c1a9e03,30.69,58.04,107.2
5cf01ad3,44.97,85.04,103.45
f8571df7,17.6,33.28,51.7
f2650c1a,48.26,91.26,129.46
89bf73cb,10.3,19.48,42.05
93b334c5,46.39,87.73,104.59
538f0549,40.45,76.5,118.2
ccf8d62f,20.67,39.09,58.14
616d8a4b,11.9,22.5,62.46
552f84d6,20.78,39.3,57.57
24d0ef9c,12.26,23.18,70.76
b79233bd,28.94,54.73,76.53
e0459556,29.59,55.96,95.95
9e8ad5e5,38.87,73.51,117.17
8361755e,27.34,51.7,66.61
09f099a8,18.57,35.12,47.84
80f273c0,45.76,86.54,120.47
bcbe5c59,5.74,10.85,45.65
fdc8b752,40.82,77.19,112.1
207b41a6,21.66,40.96,69.21
e690961c,10.69,20.22,67.61
ea8a4464,7.78,14.71,52.39
4d0a4642,12.6,23.83,36.8
3ed38b80,7.85,14.85,56.25
def23089,24.03,45.44,66.46
1a8c02cf,18.79,35.53,74.45
62b3e3b3,19.12,36.16,48.53
9065e167,9.53,18.02,58.69
2508d5dd,33.67,63.67,95.38
1c755b08,31.17,58.95,97.78
a0b93c5a,49.15,92.95,122.72
e853f4ac,10.05,19.01,61.05
14692c4f,42.03,79.48,127.36
53fb6e15,3.63,6.86,46.56
7079d63d,5.52,10.44,50.21
72f9ed07,33.11,62.61,81.28
079df295,21.51,40.68,64.86
d93e6061,13.06,24.7,39.7
1f8bd6ca,2.13,4.03,35.33
9a1299b9,33.83,63.98,91.84
b6f41eb7,23.16,43.8,65.59
0b601fb1,10.2,19.29,32.06
af9154de,48.67,92.04,139.3
d189e7fe,18.84,35.63,69.85
d18a8934,16.55,31.3,54.3
cadd5b50,26.5,50.11,74.02
e346ddcb,15.31,28.95,54.77
84bf2e8a,15.09,28.54,71.01
a42bda3f,48.38,91.49,109.91
f34dbf0f,14.54,27.5,71.76
677bf8e7,31.06,58.74,81.2
656d4577,3.8,7.19,52.03
6bc082ba,9.41,17.8,63.64
e60736ca,3.06,5.79,43.66
3687a91f,27.65,52.29,98.08
4a937553,25.6,48.41,88.29
6e292b9e,17.88,33.81,49.59
f2432862,35.61,67.34,115.59
7a34b7f1,32.04,60.59,78.19
0079a9e2,30.82,58.28,88.07
017a7058,18.14,34.3,59.64
9345b260,17.7,33.47,57.4
7ccb8f3e,43.93,83.08,124.42
bd9e5009,28.11,53.16,74.8
70fd5c64,15.07,28.5,60.01
7dbac90d,28.07,53.08,76.54
7280b5df,14.8,27.99,73.73
d3cb4d3e,10.89,20.59,36.79
018464bf,15.54,29.39,46.41
4a33f0cb,32.19,60.87,75.32
fa027598,26.76,50.61,90.92
3d91e145,9.9,18.72,35.18
4acbb0ba,45.58,86.2,117.52
00fb8fb0,25.92,49.02,89.69
7ed60820,40.1,75.83,90.45
32260de0,17.87,33.79,81.01
44330e06,47.96,90.7,112.06
1f2b5bd8,38.1,72.05,113.74
04abe679,23.82,45.05,86.79
3894d05a,45.31,85.69,109.62
5cf780ca,36.44,68.91,100.93
fadca7d1,22.67,42.87,78.1
7fc6834d,48.76,92.21,118.83
1dec7a95,16.33,30.88,55.2
bed33972,14.32,27.08,71.17
b48dc091,44.94,84.99,103.07
ba343faa,35.95,67.99,109.79
3f9a7ac2,18.58,35.14,53.29
203557ad,13.13,24.83,62.83
59aa1d28,10.55,19.95,41.46
fa64d05b,17.05,32.24,79.34
6432e9fb,8.03,15.19,49.41
86535143,8.98,16.98,48.32
345c7dad,39.28,74.28,96.09
83aeabfa,5.06,9.57,39.92
4cd78c5f,23.09,43.67,56.3
0285abce,21.44,40.55,56.28
3020ab71,48.09,90.94,112.74
99090244,24.35,46.05,94.02
393010b7,9.72,18.38,47.1
441c971e,6.24,11.8,37.82
cc4847a2,37.16,70.27,111.17
fe5678d6,9.09,17.19,54.94
c9ec1369,47.02,88.92,125.48
7631ee71,28.84,54.54,88.77
750f8950,21.28,40.24,55.44
8d2d9e76,34.85,65.91,91.53
9fa8e2d8,11.55,21.84,67.89
7321cf93,20.35,38.48,86.87
dac5e4ab,3.6,6.81,34.12
736c237d,44.13,83.45,93.49
e9c75560,22.41,42.38,72.35
0d147e84,38.42,72.66,91.75
122b697f,46.01,87.01,104.53
e9d44f40,33.33,63.03,84.38
bcc7f827,20.04,37.9,52.81
1fee37b3,31.74,60.02,71.85
b818804f,19.3,36.5,64.29
36f1f344,29.23,55.28,75.78
ff83e057,22.74,43.0,63.25
a3d4ba0e,9.19,17.38,36.24
76aa0488,39.44,74.59,104.46
7fcfbcfa,25.83,48.85,88.18
f4a75097,11.13,21.05,57.33
24a99da3,44.81,84.74,133.78
1814022d,42.95,81.22,127.78
6cb4168a,28.82,54.5,81.19
e079f07d,48.58,91.87,134.39
7c683c31,46.5,87.94,105.32
12b45684,45.06,85.21,103.7
dfc14d2f,8.4,15.89,53.93
c56957f2,16.14,30.52,49.19
e471f875,21.69,41.02,69.07
2343e008,41.93,79.29,102.17
1a7fdd0f,43.82,82.87,102.18
402aeab1,38.07,71.99,88.17
b61d8aa1,24.68,46.67,81.14
c7a9ff1d,9.77,18.48,30.73
3dca56a5,3.69,6.98,45.08
3893ee17,35.57,67.27,113.06
d9c52902,49.72,94.03,117.77
dfff0342,18.58,35.14,61.67
70da0d96,29.3,55.41,89.03
1ea61992,40.91,77.37,114.02
d22b0447,10.95,20.71,52.5
bf2a8728,41.82,79.09,116.7
06482fa7,32.02,60.55,102.89
dae3be53,29.35,55.5,105.1
e9170e83,38.59,72.98,98.69
78d67e47,13.57,25.66,59.05
d1dca57b,31.51,59.59,84.64
10c478b9,13.54,25.61,45.13
6989827e,10.62,20.08,69.98
5c9b4cf5,31.92,60.36,70.92
bcf18bd3,14.93,28.23,40.82
8dc9b584,36.29,68.63,101.95
d90197fa,26.7,50.49,88.88
5a09a4e4,35.36,66.87,106.02
8aa73e44,44.8,84.72,122.85
f2b8d32d,8.64,16.34,57.88
dc899113,5.2,9.83,49.62
e852848e,21.2,40.09,71.93
add2bdd9,36.4,68.84,97.64
92c278d6,44.54,84.23,123.04
47520111,3.67,6.94,46.23
aec88891,40.06,75.76,99.06
423b88e8,5.62,10.63,20.75
9f8722e3,29.87,56.49,79.06
5113d461,18.52,35.02,66.41
da738a16,2.85,5.39,36.43
34a538b1,6.66,12.59,37.78
66c3add9,18.98,35.89,83.18
c9d16e1f,47.78,90.36,119.41
6fbd8291,9.43,17.83,33.39
7ff341c1,15.05,28.46,46.2
4594dcd5,49.72,94.03,107.81
00a1ab56,25.07,47.41,68.14
77de02d6,14.59,27.59,49.78
1d3b6522,31.57,59.7,83.07
142cd1da,22.93,43.36,86.81
b09e6d33,43.2,81.7,122.32
60ad9fa3,2.38,4.5,34.34
cd76a68d,49.85,94.27,122.04
e23ba2c0,5.18,9.8,34.92
f4a2dd5b,27.78,52.53,63.07
5a8a54fc,35.48,67.1,113.89
5f3338f7,28.39,53.69,75.35
c68aff01,16.44,31.09,74.77
59a36b36,43.06,81.43,121.06
91214428,22.66,42.85,57.43
c843ce49,16.43,31.07,53.6
357e5192,38.88,73.53,102.92
6a59fe9b,9.0,17.02,37.51
9e3f08bd,11.84,22.39,48.47
4fa4d023,14.13,26.72,48.02
3eefe9d6,22.87,43.25,78.68
d0b22e47,2.98,5.64,30.07
b9b348e4,49.61,93.82,117.67
03c2dd54,30.81,58.26,79.12
47253105,48.59,91.89,133.95
3cc55980,40.76,77.08,112.92
7a24175f,8.45,15.98,54.82
68d5be07,12.04,22.77,48.52
9682247d,3.65,6.9,50.48
0208da1e,42.02,79.46,106.11
bc69b6a7,30.49,57.66,74.72
be1bf437,12.32,23.3,53.73
67c9f7f0,48.56,91.83,119.63
24f959d2,37.36,70.65,84.32
cacbab2f,35.86,67.82,104.33
b422b047,14.82,28.03,70.51
2aa3be03,17.04,32.22,56.47
7006f1ca,34.06,64.41,104.78
5286550b,30.49,57.66,91.09
55b4b636,33.07,62.54,83.46
a25d810a,44.18,83.55,107.31
b5fc7e0a,9.7,18.34,66.19
256f04a8,7.58,14.33,32.96
d7298f46,29.1,55.03,71.11
f7c91efc,26.01,49.19,62.22
12d25fbb,21.34,40.36,85.38
81eda920,45.43,85.91,122.79
e2bd4f22,28.8,54.46,69.13
e852e734,29.23,55.28,95.91
f7993e7b,19.59,37.05,72.23
7636f8d1,18.52,35.02,84.47
31aefe15,49.41,93.44,123.9
695dfe3f,31.91,60.35,91.01
6c776185,41.61,78.69,98.66
e21e516e,23.48,44.4,62.04
ba48dd21,11.21,21.2,60.54
dbcea5a5,17.59,33.26,58.17
d823ba93,18.61,35.19,74.17
a090024e,29.12,55.07,96.05
fdc8dc80,9.42,17.81,63.94
5195e0af,20.58,38.92,66.02
3e0c8dce,6.83,12.92,26.75
c86e49af,25.83,48.85,59.72
ea60d72f,47.48,89.79,111.47
0eaa9d83,18.27,34.55,81.85
11b5cb3e,4.39,8.3,48.21
2104afc1,31.22,59.04,91.41
b1235fc9,32.47,61.4,80.98
46744397,25.02,47.32,85.83
2b37c552,21.05,39.81,79.44
4467f1ad,44.85,84.82,104.04
17daad3a,47.04,88.96,127.29
d37aa982,34.31,64.88,79.69
55ca09a0,26.06,49.28,63.35
22031a1e,5.24,9.91,22.12
c34cec75,16.45,31.11,73.52
c830a52a,15.68,29.65,50.47
8a6fb9b5,4.8,9.08,43.25
1ab3eb11,42.48,80.33,96.11
8b3f9318,43.62,82.49,110.19
c6e83b5b,45.79,86.59,97.7
7de678e1,37.61,71.12,115.52
d72e0f83,36.1,68.27,99.86
31f81353,24.94,47.16,92.78
9c67d8b5,43.16,81.62,110.33
4c482ab5,26.49,50.1,72.75
18aad7e6,3.42,6.47,32.5
85f260fb,30.08,56.88,76.63
5a50b8b2,20.74,39.22,84.64
09c501fd,27.02,51.1,72.92
b99ce1ae,23.15,43.78,65.47
e1d03180,25.85,48.89,84.15
2f5d422f,7.21,13.63,28.54
d45e3647,2.7,5.11,23.88
a54e0406,18.33,34.66,61.86
2eaf77f0,14.22,26.89,44.19
9b3057a4,14.0,26.48,46.77
1a7d4346,46.98,88.84,126.84
91849771,41.31,78.12,99.31
64fdb7b2,2.64,4.99,40.48
375bccb3,2.42,4.58,34.36
fe9a2a28,39.29,74.3,115.0
371de2a1,49.27,93.17,133.2
5762efbd,24.33,46.01,63.91
34ccab4f,22.79,43.1,90.83
c076f223,15.24,28.82,70.91
475009d9,34.0,64.3,95.6
d5aab04d,24.64,46.6,78.99
4c68cf1a,10.04,18.99,62.14
ea4c44da,25.11,47.49,76.86
d702b71e,20.07,37.95,67.09
3bfa36d6,44.71,84.55,119.76
96e6a8ef,39.04,73.83,87.36
891ac760,35.66,67.44,100.73
810a845b,17.7,33.47,52.43
3aec781a,8.7,16.45,31.12
0256bb40,43.5,82.26,124.88
46b360ba,18.45,34.89,60.16
7409fb2d,30.46,57.6,87.71
32c80cc2,30.36,57.41,79.15
56d71e1b,46.55,88.03,99.27
5f601394,10.24,19.36,47.06
c0e256c1,39.04,73.83,113.84
03a3e889,24.2,45.76,86.09
31847dc0,10.39,19.65,66.53
dbd0eaa9,42.11,79.63,123.25
bfa25685,41.37,78.24,127.53
3ffa72a1,3.93,7.43,40.3
899aa619,36.05,68.17,80.21
2674f7fc,9.37,17.72,62.26
8f34b584,31.3,59.19,107.27
50a4024e,32.9,62.22,90.79
a1022f9e,33.93,64.17,78.73
baf42248,7.76,14.67,25.65
9f1635c7,30.72,58.09,92.63
0a330a31,6.79,12.84,49.54
cb4bfa77,37.79,71.46,82.11
db484165,5.06,9.57,57.54
bc32e5e0,38.37,72.56,104.25
8d7419a0,44.41,83.98,118.47
b165cfa4,16.33,30.88,63.45
fa7b17ff,39.36,74.43,97.11
62f75090,22.04,41.68,87.7
24721fff,40.29,76.19,86.34
46bbfd1e,34.94,66.08,105.97
85b001c7,15.88,30.03,54.46
406926df,11.3,21.37,38.98
090a0929,45.91,86.82,114.26
cb5f8b87,42.27,79.94,97.86
c8071c99,33.68,63.69,108.44
8afc0479,18.77,35.5,77.32
8f614493,26.5,50.11,94.39
ba60b25c,28.78,54.43,97.86
85506bb5,6.13,11.59,54.58
012ab958,48.67,92.04,125.3
8b565979,6.41,12.12,58.2
c21249fd,36.64,69.29,81.66
4eb7ddde,25.65,48.51,69.94
f4d8e5f7,38.47,72.75,91.25
7201b4cd,14.52,27.46,42.3
3a700c6e,20.97,39.66,49.91
c2daf07c,27.22,51.48,77.59
5818c7f8,7.8,14.75,53.71
8ac5d5bd,42.89,81.11,116.91
eea1defd,49.59,93.78,129.82
9c1f06fe,22.04,41.68,87.2
98479209,20.09,37.99,86.28
b4abff53,30.52,57.72,94.94
47f284c0,35.06,66.3,79.7
2ed45a95,43.69,82.62,119.69
3ec1cbd4,19.9,37.63,69.82
dbcb61a1,38.71,73.2,85.78
d5412337,13.52,25.57,45.85
b8a2ada2,34.66,65.55,85.06
d86b4ea2,24.4,46.14,87.05
0ca184e8,33.76,63.84,87.65
1a41be8e,20.23,38.26,68.29
09ed5153,16.13,30.5,71.93
32e36f95,25.33,47.9,95.36
132a5e8a,44.96,85.02,116.55
63226460,34.39,65.04,97.25
809b8be0,31.36,59.31,73.14
467aff5a,36.55,69.12,98.89
b0b51ff9,37.0,69.97,107.43
d84bd442,16.15,30.54,48.1
608d3668,13.17,24.91,39.36
f7865e0e,26.44,50.0,94.53
d533556e,9.1,17.21,31.81
6ffb011f,24.79,46.88,93.4
77eb0eac,35.27,66.7,87.65
d97a6c46,2.36,4.46,27.66
6fa9b246,7.34,13.88,44.9
78a34e63,48.18,91.11,108.63
c9b07672,46.54,88.01,125.55
2a35f214,22.06,41.72,72.68
57d1fb0c,30.32,57.34,105.18
53c42ba4,9.45,17.87,64.32
c26cc803,17.89,33.83,74.62
27871c07,40.06,75.76,93.15
c3a241fa,43.09,81.49,100.04
8cf5f790,21.45,40.56,61.3
fefa17e6,16.93,32.02,75.39
df412a0f,34.72,65.66,101.58
12c97961,36.46,68.95,85.97
2c744ee8,49.22,93.08,121.41
8aaf52cf,35.47,67.08,116.08
b57f3d3d,13.53,25.59,64.88
e0481386,4.88,9.23,56.6
133b6256,14.37,27.18,69.53
ef03917a,12.88,24.36,63.36
e0e14a29,6.46,12.22,55.42
fe4331a5,23.33,44.12,81.82
17176a1f,15.83,29.94,62.63
7af5d013,46.4,87.75,127.19
20761c74,21.39,40.45,59.63
4d0cb389,44.08,83.36,112.97
2ae8fa7c,16.72,31.62,79.68
fc687aba,41.91,79.26,121.6
de345a0f,23.82,45.05,92.1
e5c7b347,3.55,6.71,55.41
f54ef5f7,25.37,47.98,81.47
a0e8e287,12.88,24.36,42.21
322162ac,16.76,31.69,71.33
f1ac4faa,34.85,65.91,76.2
ad7ce129,27.42,51.85,65.42
a3711a99,44.65,84.44,105.88
dc698872,46.93,88.75,99.36
108a9f65,35.17,66.51,103.84
f7e86599,43.45,82.17,124.83
befd075c,11.36,21.48,61.63
393b4d9f,5.81,10.99,26.77
9adf0da4,17.98,34.0,76.16
4e5e9f96,17.63,33.34,76.48
39008578,33.92,64.15,78.01
64ec7a68,42.34,80.07,109.77
446988f7,16.25,30.73,68.26
8746b793,22.39,42.34,68.61
f1c8c287,7.04,13.31,58.88
d38cbc59,21.81,41.25,72.42
a7e77b4f,12.29,23.24,38.12
f83ee8b7,20.36,38.5,69.72
531ed2b5,14.78,27.95,61.05
4e46641e,40.82,77.19,125.34
11f141ba,2.2,4.16,31.04
d6d12e24,18.26,34.53,80.25
810654be,48.52,91.76,114.56
492197c3,34.59,65.41,93.5
5823eb32,39.06,73.87,110.88
32998452,43.27,81.83,127.25
29cbdfb7,19.37,36.63,77.59
0e2f3453,5.17,9.78,26.0
810212f6,21.71,41.06,58.81
52e9fc59,33.33,63.03,75.76
76800510,19.8,37.44,72.3
9c1d51a5,23.52,44.48,72.09
8a25ba78,41.62,78.71,123.74
835fa95c,3.74,7.07,56.65
0bb91094,18.07,34.17,79.31
b7494541,25.44,48.11,59.97
5572ee18,16.36,30.94,78.71
888e0639,23.4,44.25,58.37
7f0c35dd,21.28,40.24,68.13
e6534691,46.35,87.65,109.54
827051db,25.67,48.54,64.8
909f1d3f,24.86,47.01,63.86
f5f48143,14.22,26.89,50.72
8816f206,4.22,7.98,19.0
e422123d,16.37,30.96,43.55
9910baaa,3.31,6.26,44.83
2575cdf1,41.69,78.84,113.89
2beb8498,11.81,22.33,36.3
016fed5c,45.74,86.5,113.79
cbce069d,44.52,84.19,118.5
52bd02b6,33.91,64.13,78.04
e1e5c791,43.4,82.07,130.95
4f1e03c3,44.14,83.47,127.41
4bf0dc58,39.26,74.24,93.33
43fba205,26.38,49.89,80.64
fc6bd444,47.6,90.02,120.33
7a663ee5,41.25,78.01,101.38
99d7e6d1,8.1,15.32,55.71
8dd42340,22.16,41.91,78.24
546cb83f,27.91,52.78,97.35
c934d044,27.41,51.84,62.04
18bde214,20.22,38.24,72.4
f52084ae,27.52,52.04,101.75
e9efd89c,6.46,12.22,53.79
c7606f5c,33.45,63.26,87.03
292164b2,25.89,48.96,65.2
43b92d35,39.81,75.28,102.41
5d4427f5,35.28,66.72,93.69
c23dc9f9,7.41,14.01,47.42
17abf600,18.83,35.61,48.25
0aeeba7d,37.34,70.61,96.1
eb8826dd,18.17,34.36,78.55
7a45464c,29.21,55.24,90.98
9ad4f875,48.14,91.04,118.43
0b416b64,5.84,11.04,33.45
a6b35d2f,11.13,21.05,42.24
8fc9d685,25.07,47.41,87.35
1c380fd8,37.44,70.8,97.95
f332a627,17.85,33.76,53.61
ae44c804,7.64,14.45,56.96
e4d5226c,17.16,32.45,53.07
fb9f5e0d,32.93,62.27,74.85
9d842c9b,40.04,75.72,107.64
b0926872,48.9,92.48,113.64
497d2c9f,38.54,72.88,83.08
aeeebf7f,25.63,48.47,78.53
c991f452,16.05,30.35,76.13
bdfaf299,46.52,87.97,123.74
62bc7db1,27.64,52.27,63.0
c30203f5,35.06,66.3,91.45
02df6422,24.68,46.67,66.55
02c7d168,13.62,25.76,62.58
6de11650,28.25,53.42,81.7
02c317bb,42.32,80.03,96.94
77c790a3,20.4,38.58,66.83
47727de0,34.1,64.49,111.75
514be558,4.03,7.62,34.05
7376d3da,46.95,88.79,133.6
8f9c87df,48.56,91.83,120.85
d8a6ed81,20.54,38.84,79.15
6ac0540a,25.92,49.02,90.45
b584a03c,9.71,18.36,58.79
4c5def76,11.42,21.6,57.14
8d2fac2f,30.9,58.44,106.54
c1e32f6a,32.1,60.7,107.84
f4c5a5f1,18.4,34.8,56.91
970302f5,19.95,37.73,75.52
3eb1bc3d,26.3,49.74,86.33
93c4cce9,47.11,89.09,107.1
05b537eb,9.18,17.36,37.96
4ce68171,28.47,53.84,76.27
2ae3827b,4.79,9.06,32.32
ae215248,24.0,45.39,89.56
70518cd4,21.07,39.85,80.14
3ba1d4bc,9.88,18.68,60.99
6c835ae7,9.87,18.67,65.19
661437d4,23.6,44.63,75.2
7773d520,8.08,15.28,58.7
ba52baf9,16.15,30.54,68.35
0fff4190,5.42,10.25,38.84
e71b928c,16.27,30.77,48.52
6e71e309,27.62,52.23,79.44
218c2142,37.71,71.31,89.57
8941b2ff,41.86,79.16,100.65
22bdfa52,18.22,34.46,55.8
7214c041,47.06,89.0,129.44
5ca80f1e,13.55,25.62,55.93
7be9ee49,5.87,11.1,52.83
a89d3b19,46.4,87.75,132.85
75d2831e,27.91,52.78,87.25
84eeba0e,18.87,35.69,61.98
dfb10297,45.11,85.31,129.58
7da26a8a,39.24,74.21,106.91
f30e7ca7,41.96,79.35,123.63
db877c96,16.03,30.31,50.93
8dea4747,43.93,83.08,115.71
f4f7831d,33.19,62.77,81.24
c29755a8,37.42,70.77,108.7
4ab97aa6,17.0,32.15,65.63
47303434,13.76,26.02,58.26
39a22d20,21.59,40.83,76.39
7b4e4244,29.61,56.0,81.02
2f1f5d8b,33.97,64.24,81.92
57ef32de,25.9,48.98,91.24
1c70f3dd,35.55,67.23,92.6
e5e48c20,36.0,68.08,117.64
f3573a10,33.97,64.24,93.48
28c824e2,14.05,26.57,56.17
