Order_ID,Order_Date,Delivery_Date,Delivery_Status,City,Carrier_ID,Delivery_Zone,Distance_km,Fuel_Charge,Total_Delivery_Cost,Delivery_Experience_Rating,Issue_Reported,Carrier_Name,Avg_Delivery_Cost,Defect_Rate
6a1015d0,2023-06-29,2023-07-02,Delivered,Ahmedabad,C001,North,47.29,89.43,101.65,1,None,Carrier_1,104.96,0.07
b79e6de8,2023-05-20,2023-05-25,Delayed,Kolkata,C009,South,7.02,13.28,29.35,4,Late Delivery,Carrier_9,56.69,0.02
56cf556d,2023-04-18,2023-04-21,Delivered,Bangalore,C008,South,36.09,68.25,80.56,4,None,Carrier_8,123.83,0.06
aee94c62,2023-02-26,2023-02-27,Delivered,Delhi,C001,South,35.81,67.72,99.13,3,Late Delivery,Carrier_1,104.96,0.07
7f32ef61,2023-04-25,2023-04-30,Delivered,Bangalore,C002,East,7.47,14.13,40.27,1,None,Carrier_2,100.91,0.03
f061ff97,2023-05-31,2023-06-02,Delivered,Pune,C002,South,49.67,93.93,104.98,1,Wrong Address,Carrier_2,100.91,0.03
bb31ef49,2023-03-13,2023-03-14,Delivered,Bangalore,C002,East,3.65,6.9,17.78,4,Late Delivery,Carrier_2,100.91,0.03
8270dd0e,2023-01-02,2023-01-05,Delivered,Ahmedabad,C006,West,19.51,36.9,67.82,3,Late Delivery,Carrier_6,82.09,0.04
2ff5c436,2023-02-10,2023-02-13,Delivered,Kolkata,C004,West,22.39,42.34,74.3,2,None,Carrier_4,93.62,0.04
30da66ea,2023-06-28,2023-07-01,Delayed,Ahmedabad,C008,West,40.53,76.65,88.14,3,Wrong Address,Carrier_8,123.83,0.06
dfcf5e84,2023-04-19,2023-04-22,Cancelled,Kolkata,C001,East,3.43,6.49,43.29,2,None,Carrier_1,104.96,0.07
8d070714,2023-03-29,2023-04-01,Delayed,Chennai,C010,East,28.74,54.35,69.38,4,None,Carrier_10,81.3,0.08
62ee4c28,2023-03-13,2023-03-17,Delivered,Chennai,C004,North,11.79,22.3,52.08,3,None,Carrier_4,93.62,0.04
f726832b,2023-02-09,2023-02-10,Delivered,Kolkata,C010,South,29.48,55.75,72.1,1,Wrong Address,Carrier_10,81.3,0.08
253b0189,2023-02-25,2023-02-27,Delayed,Kolkata,C005,Central,33.02,62.44,74.0,5,Damaged Package,Carrier_5,101.88,0.09
2e7aa26a,2023-03-28,2023-03-30,Delivered,Delhi,C009,Central,3.64,6.88,25.37,1,Wrong Address,Carrier_9,56.69,0.02
180834dd,2023-01-27,2023-02-01,Delivered,Delhi,C005,South,5.24,9.91,38.48,2,Late Delivery,Carrier_5,101.88,0.09
5774ce3b,2023-01-24,2023-01-28,Delivered,Bangalore,C003,Central,6.09,11.52,51.28,4,None,Carrier_3,84.25,0.06
8d7e9774,2023-04-08,2023-04-09,Delivered,Ahmedabad,C004,Central,42.91,81.15,101.77,3,Damaged Package,Carrier_4,93.62,0.04
368fe3b4,2023-01-25,2023-01-28,Delayed,Pune,C010,Central,46.48,87.9,125.3,4,None,Carrier_10,81.3,0.08
8efc9180,2023-04-02,2023-04-05,Delivered,Ahmedabad,C007,East,23.01,43.51,88.02,4,None,Carrier_7,79.32,0.03
946b5588,2023-03-30,2023-04-01,Delivered,Hyderabad,C001,East,43.99,83.19,103.98,2,None,Carrier_1,104.96,0.07
bcb91102,2023-06-04,2023-06-06,Delivered,Ahmedabad,C006,East,24.86,47.01,77.9,4,None,Carrier_6,82.09,0.04
74d55afc,2023-03-09,2023-03-13,Delivered,Pune,C008,South,21.25,40.19,66.57,3,Late Delivery,Carrier_8,123.83,0.06
8639ceac,2023-01-12,2023-01-13,Delivered,Delhi,C001,West,27.5,52.01,63.11,1,None,Carrier_1,104.96,0.07
7e685417,2023-04-28,2023-04-29,Delivered,Bangalore,C008,Central,39.93,75.51,101.18,4,None,Carrier_8,123.83,0.06
72d48101,2023-05-18,2023-05-23,Cancelled,Pune,C007,North,12.74,24.09,49.18,3,Late Delivery,Carrier_7,79.32,0.03
8c327441,2023-02-01,2023-02-04,Delayed,Ahmedabad,C001,East,16.48,31.17,66.05,3,None,Carrier_1,104.96,0.07
f19fddb0,2023-04-07,2023-04-08,Delayed,Mumbai,C009,North,42.75,80.84,125.5,2,None,Carrier_9,56.69,0.02
4ef201dc,2023-01-21,2023-01-22,Delayed,Chennai,C003,Central,45.97,86.93,123.8,4,Damaged Package,Carrier_3,84.25,0.06
58c5139d,2023-05-22,2023-05-26,Delivered,Pune,C002,West,7.9,14.94,39.16,2,None,Carrier_2,100.91,0.03
a2c7b2ce,2023-03-17,2023-03-21,Delayed,Hyderabad,C007,North,35.84,67.78,95.73,1,Late Delivery,Carrier_7,79.32,0.03
30838426,2023-06-10,2023-06-15,Delivered,Bangalore,C003,Central,2.46,4.65,50.14,1,None,Carrier_3,84.25,0.06
dc8350c0,2023-06-08,2023-06-11,Delivered,Pune,C001,Central,13.82,26.14,61.7,3,None,Carrier_1,104.96,0.07
cf8fde3d,2023-04-03,2023-04-08,Delivered,Kolkata,C010,East,5.29,10.0,35.59,4,Late Delivery,Carrier_10,81.3,0.08
0d7bda88,2023-05-28,2023-06-01,Delivered,Ahmedabad,C003,West,26.74,50.57,84.58,3,None,Carrier_3,84.25,0.06
2a60d134,2023-02-19,2023-02-22,Delivered,Mumbai,C006,Central,18.48,34.95,70.72,4,None,Carrier_6,82.09,0.04
bad78cd3,2023-06-30,2023-07-04,Delivered,Chennai,C003,West,8.6,16.26,45.55,2,None,Carrier_3,84.25,0.06
efa27d96,2023-01-18,2023-01-22,Delayed,Mumbai,C005,East,2.02,3.82,48.44,1,None,Carrier_5,101.88,0.09
41282643,2023-01-12,2023-01-17,Delivered,Bangalore,C009,North,20.64,39.03,81.54,1,None,Carrier_9,56.69,0.02
0209fe59,2023-06-19,2023-06-21,Delivered,Ahmedabad,C007,South,16.13,30.5,61.48,2,None,Carrier_7,79.32,0.03
3b818707,2023-02-28,2023-03-02,Delivered,Delhi,C002,South,4.24,8.02,56.35,5,None,Carrier_2,100.91,0.03
9f4652df,2023-03-16,2023-03-21,Delivered,Chennai,C001,South,42.88,81.09,129.22,5,Damaged Package,Carrier_1,104.96,0.07
ff2aef31,2023-01-21,2023-01-25,Delayed,Ahmedabad,C007,West,21.72,41.07,89.71,5,None,Carrier_7,79.32,0.03
3060a960,2023-03-01,2023-03-05,Delivered,Mumbai,C004,South,39.19,74.11,92.93,4,None,Carrier_4,93.62,0.04
2390c7e5,2023-01-26,2023-01-30,Cancelled,Delhi,C007,North,22.26,42.1,56.23,2,Late Delivery,Carrier_7,79.32,0.03
16275530,2023-04-08,2023-04-10,Delayed,Hyderabad,C006,Central,5.24,9.91,44.67,4,Damaged Package,Carrier_6,82.09,0.04
1e6adb92,2023-03-13,2023-03-16,Delivered,Bangalore,C007,West,20.92,39.56,78.66,4,None,Carrier_7,79.32,0.03
8ed2ee1a,2023-04-27,2023-04-28,Delivered,Bangalore,C004,North,44.53,84.21,106.49,2,None,Carrier_4,93.62,0.04
ae797607,2023-06-12,2023-06-17,Delayed,Chennai,C003,West,2.37,4.48,35.99,4,None,Carrier_3,84.25,0.06
0e3c8056,2023-04-04,2023-04-09,Delayed,Mumbai,C005,West,44.97,85.04,120.95,2,None,Carrier_5,101.88,0.09
a08ec068,2023-02-11,2023-02-15,Delayed,Hyderabad,C003,West,33.52,63.39,91.92,5,None,Carrier_3,84.25,0.06
26b2161c,2023-04-05,2023-04-09,Delayed,Kolkata,C003,East,49.79,94.16,125.81,5,None,Carrier_3,84.25,0.06
21695cc6,2023-04-01,2023-04-03,Delivered,Chennai,C004,Central,45.97,86.93,99.94,4,None,Carrier_4,93.62,0.04
53a46f68,2023-02-23,2023-02-27,Delivered,Ahmedabad,C008,South,43.71,82.66,132.42,1,None,Carrier_8,123.83,0.06
af83302f,2023-06-21,2023-06-24,Delivered,Kolkata,C002,East,3.8,7.19,32.34,2,None,Carrier_2,100.91,0.03
b144331c,2023-03-10,2023-03-15,Delayed,Chennai,C004,Central,15.45,29.22,47.43,3,Late Delivery,Carrier_4,93.62,0.04
4cce08d8,2023-06-29,2023-06-30,Delivered,Mumbai,C003,South,19.99,37.8,67.0,3,None,Carrier_3,84.25,0.06
c9152e9c,2023-06-24,2023-06-28,Delivered,Hyderabad,C007,East,35.59,67.3,90.0,4,None,Carrier_7,79.32,0.03
d70161df,2023-06-15,2023-06-18,Delivered,Mumbai,C002,East,33.13,62.65,88.31,1,None,Carrier_2,100.91,0.03
73f9d03c,2023-01-19,2023-01-20,Delivered,Bangalore,C001,North,10.24,19.36,51.87,2,None,Carrier_1,104.96,0.07
6b7501de,2023-06-05,2023-06-07,Delivered,Kolkata,C010,East,37.37,70.67,91.81,5,Late Delivery,Carrier_10,81.3,0.08
ffb95a69,2023-06-12,2023-06-13,Delayed,Delhi,C001,West,9.47,17.91,54.57,4,Wrong Address,Carrier_1,104.96,0.07
40e7b6df,2023-02-13,2023-02-18,Delivered,Pune,C006,East,23.91,45.22,72.49,2,None,Carrier_6,82.09,0.04
de298fd9,2023-05-17,2023-05-20,Delayed,Ahmedabad,C003,West,29.78,56.32,69.69,2,None,Carrier_3,84.25,0.06
f158e0b2,2023-03-04,2023-03-09,Delivered,Bangalore,C007,Central,43.79,82.81,128.29,2,Late Delivery,Carrier_7,79.32,0.03
71bfcbed,2023-02-11,2023-02-12,Delivered,Bangalore,C008,Central,32.3,61.08,90.18,1,None,Carrier_8,123.83,0.06
ee7537df,2023-04-29,2023-05-04,Delayed,Kolkata,C005,West,47.83,90.45,137.37,2,Damaged Package,Carrier_5,101.88,0.09
9ce9c32c,2023-04-08,2023-04-09,Delayed,Ahmedabad,C005,North,49.74,94.06,119.29,1,None,Carrier_5,101.88,0.09
41e90207,2023-03-11,2023-03-13,Delivered,Chennai,C002,North,26.42,49.96,81.67,1,Late Delivery,Carrier_2,100.91,0.03
a2be88d8,2023-06-13,2023-06-18,Delayed,Bangalore,C008,Central,4.47,8.45,53.39,2,None,Carrier_8,123.83,0.06
e7ff14c6,2023-06-26,2023-07-01,Delivered,Pune,C010,East,3.36,6.35,34.84,5,None,Carrier_10,81.3,0.08
fc900642,2023-05-23,2023-05-28,Delivered,Hyderabad,C001,Central,43.07,81.45,116.78,2,None,Carrier_1,104.96,0.07
d0fca803,2023-02-26,2023-02-27,Delivered,Bangalore,C010,Central,25.99,49.15,69.03,5,Late Delivery,Carrier_10,81.3,0.08
8a9412e0,2023-06-25,2023-06-30,Delivered,Hyderabad,C009,West,19.61,37.08,56.6,4,Late Delivery,Carrier_9,56.69,0.02
e0208654,2023-03-25,2023-03-30,Delivered,Mumbai,C001,North,15.65,29.6,61.31,3,Wrong Address,Carrier_1,104.96,0.07
8ea30fd4,2023-01-15,2023-01-17,Delivered,Ahmedabad,C001,West,15.53,29.37,63.9,4,None,Carrier_1,104.96,0.07
f46ce500,2023-02-28,2023-03-04,Delivered,Chennai,C001,Central,5.5,10.4,46.63,1,Late Delivery,Carrier_1,104.96,0.07
ae3f6869,2023-01-09,2023-01-14,Delivered,Hyderabad,C007,South,16.54,31.28,72.03,4,None,Carrier_7,79.32,0.03
93bb1bd8,2023-03-22,2023-03-23,Delivered,Bangalore,C004,East,32.95,62.31,109.21,3,None,Carrier_4,93.62,0.04
95b37a6d,2023-04-13,2023-04-14,Delayed,Chennai,C007,Central,20.49,38.75,58.36,3,None,Carrier_7,79.32,0.03
a8b340d8,2023-03-10,2023-03-15,Delivered,Pune,C005,West,47.5,89.83,124.61,5,Late Delivery,Carrier_5,101.88,0.09
7a89112f,2023-01-17,2023-01-19,Delivered,Chennai,C007,South,34.07,64.43,92.16,4,Damaged Package,Carrier_7,79.32,0.03
83e8c8b2,2023-02-24,2023-02-25,Delayed,Hyderabad,C010,South,43.47,82.21,95.78,1,Damaged Package,Carrier_10,81.3,0.08
cb9b8c70,2023-05-26,2023-05-29,Delivered,Ahmedabad,C007,Central,7.48,14.15,42.29,1,None,Carrier_7,79.32,0.03
c7b2aee5,2023-03-22,2023-03-24,Delivered,Hyderabad,C004,North,23.62,44.67,86.3,5,None,Carrier_4,93.62,0.04
ba6f7a4d,2023-02-24,2023-02-26,Delivered,Delhi,C002,South,3.99,7.55,20.71,5,Damaged Package,Carrier_2,100.91,0.03
ab2c1990,2023-06-17,2023-06-22,Delivered,Delhi,C008,East,44.96,85.02,119.27,4,Wrong Address,Carrier_8,123.83,0.06
3a112627,2023-05-08,2023-05-12,Delayed,Chennai,C002,West,9.05,17.11,43.51,5,None,Carrier_2,100.91,0.03
808c1eb0,2023-04-12,2023-04-13,Delayed,Kolkata,C009,West,40.66,76.89,113.05,3,Damaged Package,Carrier_9,56.69,0.02
afdf4fd3,2023-06-14,2023-06-19,Delivered,Ahmedabad,C005,West,46.34,87.63,130.48,1,Wrong Address,Carrier_5,101.88,0.09
30f5355a,2023-04-28,2023-05-03,Delayed,Kolkata,C009,Central,23.21,43.89,75.56,3,None,Carrier_9,56.69,0.02
d24f4a20,2023-02-06,2023-02-09,Delayed,Delhi,C009,West,20.69,39.13,61.29,2,Late Delivery,Carrier_9,56.69,0.02
72c6a0e7,2023-03-09,2023-03-13,Delivered,Bangalore,C008,West,30.81,58.26,71.87,3,Late Delivery,Carrier_8,123.83,0.06
12ed1979,2023-02-05,2023-02-10,Delayed,Mumbai,C008,East,37.54,70.99,92.54,1,Late Delivery,Carrier_8,123.83,0.06
674b4289,2023-03-05,2023-03-06,Delivered,Chennai,C004,North,32.99,62.39,86.98,2,None,Carrier_4,93.62,0.04
60139710,2023-05-24,2023-05-28,Delayed,Mumbai,C004,Central,2.06,3.9,39.55,4,None,Carrier_4,93.62,0.04
3f07db23,2023-05-18,2023-05-19,Delayed,Delhi,C002,Central,39.72,75.11,100.64,2,None,Carrier_2,100.91,0.03
6b74140b,2023-03-09,2023-03-12,Delivered,Hyderabad,C004,West,9.07,17.15,43.26,5,Late Delivery,Carrier_4,93.62,0.04
b27d5559,2023-05-30,2023-06-03,Delivered,Pune,C004,East,23.58,44.59,66.21,1,Damaged Package,Carrier_4,93.62,0.04
5cf63dc5,2023-04-20,2023-04-22,Delivered,Chennai,C006,South,15.55,29.41,53.93,5,None,Carrier_6,82.09,0.04
a23539c0,2023-05-30,2023-06-03,Delivered,Delhi,C003,West,46.54,88.01,108.65,3,None,Carrier_3,84.25,0.06
88a4d67a,2023-04-13,2023-04-14,Delayed,Ahmedabad,C002,West,26.1,49.36,88.73,4,Damaged Package,Carrier_2,100.91,0.03
4ffd8353,2023-04-03,2023-04-08,Delayed,Bangalore,C008,Central,27.06,51.17,100.49,1,None,Carrier_8,123.83,0.06
40550bc0,2023-02-26,2023-03-01,Delivered,Pune,C002,Central,5.66,10.7,50.09,4,Damaged Package,Carrier_2,100.91,0.03
fb06a9e0,2023-02-05,2023-02-09,Delivered,Chennai,C008,West,45.07,85.23,98.18,1,Late Delivery,Carrier_8,123.83,0.06
548b8c79,2023-05-11,2023-05-14,Delivered,Chennai,C007,Central,13.47,25.47,60.78,5,Late Delivery,Carrier_7,79.32,0.03
3a1368f7,2023-05-07,2023-05-08,Delivered,Ahmedabad,C003,East,21.87,41.36,79.48,3,Late Delivery,Carrier_3,84.25,0.06
73f9f068,2023-01-24,2023-01-25,Delivered,Kolkata,C006,South,49.29,93.21,134.34,2,None,Carrier_6,82.09,0.04
ed77e342,2023-01-13,2023-01-14,Delivered,Hyderabad,C006,South,7.47,14.13,54.64,4,None,Carrier_6,82.09,0.04
ca5f13f8,2023-01-29,2023-02-03,Delayed,Chennai,C010,South,36.49,69.01,99.35,1,None,Carrier_10,81.3,0.08
8f3d3c16,2023-02-09,2023-02-11,Delivered,Hyderabad,C005,West,14.49,27.4,47.9,1,None,Carrier_5,101.88,0.09
642308dd,2023-06-10,2023-06-13,Delivered,Delhi,C008,West,22.15,41.89,56.71,4,None,Carrier_8,123.83,0.06
214b77ae,2023-02-10,2023-02-12,Delayed,Bangalore,C005,West,22.07,41.74,52.07,2,Late Delivery,Carrier_5,101.88,0.09
ef82e3f4,2023-06-24,2023-06-26,Delivered,Pune,C007,East,46.75,88.41,98.47,3,Wrong Address,Carrier_7,79.32,0.03
03839c43,2023-04-19,2023-04-22,Cancelled,Pune,C006,South,2.5,4.73,52.18,1,None,Carrier_6,82.09,0.04
09d94aa5,2023-06-02,2023-06-03,Cancelled,Bangalore,C007,Central,19.63,37.12,71.44,1,Late Delivery,Carrier_7,79.32,0.03
d2e0b242,2023-01-17,2023-01-19,Delivered,Chennai,C009,Central,42.92,81.17,114.14,4,Damaged Package,Carrier_9,56.69,0.02
8a706f16,2023-04-09,2023-04-12,Delivered,Chennai,C003,North,45.7,86.42,111.49,4,None,Carrier_3,84.25,0.06
3172644f,2023-04-08,2023-04-12,Delivered,Delhi,C010,North,16.94,32.04,73.98,1,Late Delivery,Carrier_10,81.3,0.08
c3c0ed0b,2023-06-02,2023-06-04,Delivered,Kolkata,C007,Central,13.61,25.74,44.55,1,None,Carrier_7,79.32,0.03
daebda53,2023-04-30,2023-05-01,Delivered,Kolkata,C010,South,24.14,45.65,85.17,1,None,Carrier_10,81.3,0.08
ff09b9ef,2023-05-16,2023-05-21,Delivered,Kolkata,C003,West,37.8,71.48,95.99,5,Wrong Address,Carrier_3,84.25,0.06
3c30a67e,2023-03-06,2023-03-09,Delivered,Hyderabad,C002,Central,9.39,17.76,56.07,1,Wrong Address,Carrier_2,100.91,0.03
23402849,2023-05-22,2023-05-24,Delivered,Kolkata,C007,Central,39.65,74.98,113.24,3,None,Carrier_7,79.32,0.03
3f5fa548,2023-01-03,2023-01-04,Delivered,Bangalore,C004,North,26.61,50.32,72.93,3,None,Carrier_4,93.62,0.04
45bef694,2023-06-24,2023-06-25,Delayed,Pune,C001,South,8.76,16.57,63.94,2,Damaged Package,Carrier_1,104.96,0.07
6c5f7944,2023-01-30,2023-02-02,Delivered,Pune,C006,Central,34.24,64.75,95.06,4,Damaged Package,Carrier_6,82.09,0.04
5c7cdfdf,2023-06-24,2023-06-28,Delivered,Hyderabad,C006,West,32.15,60.8,81.11,2,Late Delivery,Carrier_6,82.09,0.04
bee39637,2023-05-18,2023-05-19,Delivered,Delhi,C006,West,31.87,60.27,97.22,1,None,Carrier_6,82.09,0.04
5f1f5d18,2023-03-10,2023-03-13,Cancelled,Bangalore,C002,East,38.23,72.3,112.33,4,Late Delivery,Carrier_2,100.91,0.03
0c133945,2023-06-14,2023-06-16,Delivered,Pune,C001,West,10.7,20.23,68.26,1,None,Carrier_1,104.96,0.07
64d1dbc1,2023-03-29,2023-04-02,Delivered,Bangalore,C003,Central,35.48,67.1,80.03,4,Damaged Package,Carrier_3,84.25,0.06
d38c2a99,2023-01-29,2023-02-01,Delayed,Pune,C002,Central,44.59,84.32,115.92,5,None,Carrier_2,100.91,0.03
9eed9f56,2023-03-17,2023-03-20,Delivered,Mumbai,C006,West,27.45,51.91,81.53,5,Late Delivery,Carrier_6,82.09,0.04
5f506b8f,2023-04-22,2023-04-26,Delayed,Delhi,C006,North,25.33,47.9,70.31,5,None,Carrier_6,82.09,0.04
2313f411,2023-02-10,2023-02-11,Delivered,Delhi,C005,South,40.29,76.19,116.9,2,None,Carrier_5,101.88,0.09
fae273a9,2023-04-27,2023-04-28,Delivered,Ahmedabad,C010,Central,9.02,17.06,34.83,4,Late Delivery,Carrier_10,81.3,0.08
1e9577f0,2023-01-01,2023-01-03,Delivered,Mumbai,C010,West,18.36,34.72,57.83,2,None,Carrier_10,81.3,0.08
f2a138ee,2023-03-09,2023-03-11,Delivered,Hyderabad,C005,West,42.98,81.28,121.93,4,Damaged Package,Carrier_5,101.88,0.09
bfb4556b,2023-05-09,2023-05-14,Delivered,Pune,C009,Central,25.99,49.15,78.24,1,Late Delivery,Carrier_9,56.69,0.02
94a75bc5,2023-02-15,2023-02-20,Delayed,Ahmedabad,C005,East,42.34,80.07,95.51,5,None,Carrier_5,101.88,0.09
d7e8f4b8,2023-05-10,2023-05-12,Delivered,Pune,C010,South,14.09,26.65,72.42,5,Late Delivery,Carrier_10,81.3,0.08
00bc1727,2023-01-28,2023-02-01,Delivered,Pune,C006,Central,20.7,39.15,78.38,4,Late Delivery,Carrier_6,82.09,0.04
f773df7c,2023-06-10,2023-06-15,Delivered,Kolkata,C004,West,41.53,78.54,111.05,2,None,Carrier_4,93.62,0.04
2c889f21,2023-03-18,2023-03-23,Delivered,Kolkata,C010,East,9.85,18.63,53.0,2,None,Carrier_10,81.3,0.08
22291dd4,2023-06-13,2023-06-17,Delivered,Kolkata,C001,Central,44.95,85.01,120.05,3,None,Carrier_1,104.96,0.07
33d02441,2023-05-10,2023-05-11,Delivered,Kolkata,C004,South,16.87,31.9,61.87,5,None,Carrier_4,93.62,0.04
f25b0418,2023-06-05,2023-06-08,Delivered,Kolkata,C002,East,48.69,92.08,131.87,5,None,Carrier_2,100.91,0.03
78c06c21,2023-02-20,2023-02-21,Delivered,Mumbai,C010,West,41.73,78.92,117.53,2,Wrong Address,Carrier_10,81.3,0.08
56d3b020,2023-02-09,2023-02-12,Delivered,Delhi,C003,North,23.87,45.14,55.25,5,Late Delivery,Carrier_3,84.25,0.06
6af06f72,2023-04-06,2023-04-10,Delivered,Hyderabad,C007,South,37.63,71.16,85.58,2,None,Carrier_7,79.32,0.03
aebaad6d,2023-02-11,2023-02-16,Delayed,Bangalore,C007,East,28.65,54.18,65.19,3,Late Delivery,Carrier_7,79.32,0.03
dd52d032,2023-05-19,2023-05-23,Delivered,Kolkata,C001,Central,42.96,81.24,98.0,4,Late Delivery,Carrier_1,104.96,0.07
54f76f22,2023-05-16,2023-05-17,Delayed,Mumbai,C008,Central,26.87,50.81,63.7,4,None,Carrier_8,123.83,0.06
ea0394d9,2023-01-01,2023-01-05,Delivered,Ahmedabad,C007,East,49.42,93.46,111.21,3,None,Carrier_7,79.32,0.03
9ce49347,2023-06-03,2023-06-04,Delivered,Ahmedabad,C001,Central,8.41,15.9,47.44,5,Late Delivery,Carrier_1,104.96,0.07
fb010378,2023-03-24,2023-03-28,Delivered,Pune,C008,East,34.47,65.19,101.98,1,None,Carrier_8,123.83,0.06
0e6c9a19,2023-05-06,2023-05-08,Delayed,Hyderabad,C002,South,13.79,26.08,72.82,5,Damaged Package,Carrier_2,100.91,0.03
4264846e,2023-01-05,2023-01-06,Delayed,Ahmedabad,C008,Central,11.18,21.14,60.71,2,None,Carrier_8,123.83,0.06
335d0744,2023-01-29,2023-02-01,Delivered,Hyderabad,C003,South,21.6,40.85,52.11,1,Late Delivery,Carrier_3,84.25,0.06
9ca26652,2023-04-03,2023-04-08,Delivered,Hyderabad,C010,West,19.64,37.14,65.89,3,Late Delivery,Carrier_10,81.3,0.08
ae9e0b01,2023-03-20,2023-03-25,Delayed,Mumbai,C007,West,4.22,7.98,45.01,4,None,Carrier_7,79.32,0.03
2e3f7add,2023-03-03,2023-03-04,Delivered,Bangalore,C006,West,22.53,42.61,65.22,4,None,Carrier_6,82.09,0.04
b5fbc0d5,2023-01-15,2023-01-17,Delivered,Kolkata,C005,West,47.69,90.19,114.95,5,Late Delivery,Carrier_5,101.88,0.09
b83ee46f,2023-03-03,2023-03-08,Delivered,Hyderabad,C010,Central,24.41,46.16,88.27,4,Damaged Package,Carrier_10,81.3,0.08
e563684c,2023-05-26,2023-05-28,Delivered,Mumbai,C002,East,16.49,31.18,43.06,5,Late Delivery,Carrier_2,100.91,0.03
3c590cb2,2023-01-21,2023-01-24,Delayed,Pune,C002,Central,47.56,89.94,121.53,2,Damaged Package,Carrier_2,100.91,0.03
80ac5a0d,2023-01-22,2023-01-27,Delayed,Delhi,C001,Central,26.27,49.68,91.86,2,None,Carrier_1,104.96,0.07
d8e995c9,2023-05-05,2023-05-09,Delivered,Pune,C009,South,15.78,29.84,71.74,3,None,Carrier_9,56.69,0.02
1a6a329d,2023-01-18,2023-01-22,Delivered,Mumbai,C008,East,39.58,74.85,89.67,2,Late Delivery,Carrier_8,123.83,0.06
c8494c7a,2023-05-17,2023-05-18,Delivered,Mumbai,C008,North,12.73,24.07,67.86,5,None,Carrier_8,123.83,0.06
